ISBN,Title,Author,Year_Publication,Publisher
2877,The Wild Child,Mary Jo Putney,2000,Ballantine Books
8782,Catering to Nobody,Diane Mott Davidson,1995,Fawcett Books
1485,Narcissus in Chains (Anita Blake Vampire Hunter (Hardcover)),Laurell K. Hamilton,2001,Berkley Publishing Group
11476,Dawn in Eclipse Bay,Jayne Ann Krentz,2001,Jove Books
2830,Suddenly You,Lisa Kleypas,2001,Avon
24389,Cat and the Countess,Casey Claybourne,2000,Berkley Publishing Group
14088,Killer Pancake,Diane Mott Davidson,1996,Crimeline
3946,On Basilisk Station (Honor Harrington 1) (On Basilisk Station),David Weber,1993,Baen
27212,A Caress of Twilight (Meredith Gentry Novels (Hardcover)),LAURELL K. HAMILTON,2002,Ballantine Books
13505,The Pursuit (Avon Historical Romance),Johanna Lindsey,2003,Avon
68912,Pale Horse Coming,Stephen Hunter,2002,Pocket
17582,Changing Habits (Mira),Debbie Macomber,2004,Mira
68412,Bright Eyes (Coulter Family Series),Catherine Anderson,2004,Signet Book
4610,The WEDDING,Julie Garwood,1997,Pocket Star
12940,A Jury of Her Peers,Jean Hanff Korelitz,1997,Onyx Books
17947,Evening Class,Maeve Binchy,0,Little Brown Company
11075,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest
36960,Four Corners of Night,Craig Holden,1999,Island
25290,Inferno (Mentor),Dante Alighieri,1993,Mentor Books
1807,Great Expectations,Charles Dickens,2000,Aladdin
2472,Close encounters of the third kind,Steven Spielberg,1977,Dell Pub
30902,The Betrayal,Beverly Lewis,2003,Bethany House Publishers
20094,The Edge,Catherine Coulter,2000,Jove Books
20155,True Blue,Luanne Rice,2002,Bantam Books
2605,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
46780,Illusion,Paula Volsky,1993,Bantam Books
71109,Wuthering Heights (Dover Thrift Editions),Emily Bronte,1996,Dover Publications
15538,A Simple Plan,Scott Smith,1994,St. Martin's Press
4578,Fearless #1,Francine Pascal,1999,Simon Pulse
21036,The Bird Artist,Howard Norman,1995,Picador USA
52861,The Best of Edward Abbey,Edward Abbey,1988,Sierra Club Books
1809,A Graveyard for Lunatics: Another Tale of Two Cities,Ray Bradbury,1992,Bantam Dell Pub Group
7604,November of the Heart,LaVyrle Spencer,1995,Jove Books
6515,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,Putnam Publishing Group
1595,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Press
14947,On the Street Where You Live : A Novel,Mary Higgins Clark,2001,Simon &amp; Schuster
4400,All I Desire,Rosemary Rogers,1999,Avon
20896,Chesapeake Blue,Nora Roberts,2004,Jove Books
60155,Mourn Not Your Dead,Deborah Crombie,1997,Berkley Publishing Group
14487,Firestorm (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon
38749,Blind Descent: : An Anna Pigeon Mystery (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1999,Avon
1873,YOU BELONG TO ME,Mary Higgins Clark,1998,Simon &amp; Schuster
2347,"Life Strategies: Doing What Works, Doing What Matters",Phillip C. McGraw,2000,Hyperion
2301,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,Anita Shreve,1998,Back Bay Books
19946,Long Lost,David Morrell,2003,Warner Books
42699,The HIDDEN LIFE OF DOGS,Elizabeth Marshall Thomas,1995,Pocket
15727,Different Seasons,Stephen King,1982,Viking Books
14154,Cujo,Stephen King,1981,Viking Books
2551,Hearts in Atlantis,Stephen King,2001,Pocket
4158,Gone for Good,HARLAN COBEN,2003,Dell
33471,Unlimited Power,Anthony Robbins,1991,Ballantine Books
75,Without Remorse,Tom Clancy,1993,Putnam Publishing Group
5819,It Was on Fire When I Lay Down on It,Robert Fulghum,1993,Ivy Books
6951,FIRST THINGS FIRST,Stephen R. Covey,1994,Simon &amp; Schuster
27787,God on a Harley: A Spiritual Fable,Joan Brady,1995,Pocket Books
46734,Obstruction of Justice,Perry O'Shaughnessy,1998,Island
10769,Total Control,David Baldacci,1997,Warner Books
57651,Deep Lie,Stuart Woods,1998,HarperTorch
68535,Suspicion of Vengeance,Barbara Parker,2003,Signet Book
13390,Invasion of Privacy,PERRI O'SHAUGHNESSY,1997,Dell
39936,Jacob Have I Loved,Katherine Paterson,1981,Avon Books
63694,"Time of the Twins Legends 1 (Dragonlance Legends Trilogy, Vol 1)",Margaret Weis,1986,Random House~childrens
59765,Family Way,Jayne Ann Krentz,1999,Mira
4403,Stalker: A Peter Decker and Rina Lazarus Novel,Faye Kellerman,2001,Avon
4556,Dust to Dust,TAMI HOAG,2002,Bantam
7039,Grave Secrets (Temperance Brennan Novel (Hardcover)),Kathy Reichs,2002,Scribner
19683,The Broken Hearts Club (Conrad Voort Novels (Paperback)),Ethan Black,2000,Ballantine Books
52753,Ring of Truth,Nancy Pickard,2001,Atria
65158,Exit to Eden,Anne Rice,1996,Ballantine Books
4114,Killing the Shadows (St. Martin's Minotaur Mysteries),Val McDermid,2002,St. Martin's Paperbacks
7584,Night over Water,Ken Follett,1992,Signet Book
4577,Body of Evidence,Patricia Cornwell,1999,Pocket
552,Over the Edge,Jonathan Kellerman,1993,New American Library
5734,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam
49295,Anything Considered,Peter Mayle,1997,Vintage Books USA
10761,Shades of Earl Grey (A Tea Shop Mystery),Laura Childs,2003,Prime Crime
24620,The Takeover,Stephen W. Frey,1996,Signet Book
47824,The Main Corpse,Diane Mott Davidson,1996,Bantam Dell Pub Group
58425,To Engineer Is Human: The Role of Failure in Successful Design,Henry Petroski,1992,Vintage Books USA
68332,"Engaged to Die : A Death on Demand Mystery (Hart, Carolyn G)",Carolyn Hart,2003,William Morrow
17100,Sticks &amp; Scones,Diane Mott Davidson,2002,Bantam Books
14496,Miss Zukas and the Stroke of Death (Miss Zukas Mysteries),Jo Dereske,1995,Avon
7101,Good Harbor: A Novel,Anita Diamant,2001,Scribner
5753,Gone with the Wind,Margaret Mitchell,1993,Warner Books
7158,Agatha Raisin and the Quiche of Death (Agatha Raisin Mysteries (Paperback)),M. C. Beaton,1993,Fawcett Books
55207,Agatha Raisin and the Vicious Vet (Agatha Raisin Mysteries (Paperback)),M. C. Beaton,1994,Fawcett Books
39170,The Awakening,Kate Chopin,1985,Bantam
13987,The Alibi,Sandra Brown,1999,Warner Books
11395,Standoff,Sandra Brown,2000,Warner Books
18575,Widow's Walk (Spenser Mysteries (Hardcover)),Robert Parker,2002,Putnam Publishing Group
738,Life on the Other Side: A Psychic's Tour of the Afterlife,Sylvia Browne,2001,Signet Book
6935,The Color Purple,Alice Walker,1990,Pocket
24091,Thunderhead,Douglas Preston,1999,Warner Books
14030,The Killing Kind,John Connolly,2003,Pocket Star
11652,"Gremlins Don't Chew Bubble Gum (The Bailey School Kids, Book 13)",Debbie Dadey,1995,Scholastic
30761,Strange True Stories of Louisiana,George Washington Cable,1994,Pelican Publishing Company
19908,Crooked,TOM MCNEAL,2002,Laurel Leaf
11058,The Light Fantastic (Discworld Novels (Paperback)),Terry Pratchett,2000,HarperTorch
1105,Cujo,Stephen King,2004,Signet Book
39010,Feet of Clay (Discworld Novels (Paperback)),Terry Pratchett,1997,HarperTorch
2452,Twilight Eyes,Dean R. Koontz,1995,Berkley Publishing Group
19929,Spin Cycle,SUE MARGOLIS,2001,Delta
10741,"Truly, Madly Manhattan",Nora Roberts,2003,Silhouette
5160,The Third Option,Vince Flynn,2001,Pocket Star
54079,Tigana,Guy Gavriel Kay,1994,Roc
43379,The Lions of Al-Rassan,Guy Gavriel Kay,1996,Eos
4876,A Song for Arbonne,Guy Gavriel Kay,1994,Roc
58277,"The Summer Tree (The Fionavar Tapestry, Book 1)",Guy Gavriel Kay,1994,Roc
69778,The Man Who Listens to Horses,Monty Roberts,1998,Ballantine Books
41523,Starfarers,Poul Anderson,1998,St Martins Pr
48598,Until Forever,Johanna Lindsey,1995,Avon
62657,Keeper of the Heart,Johanna Lindsey,1993,Avon
22727,Wild Mountain Thyme,Rosamunde Pilcher,1989,Dell Publishing Company
5327,Lost and Found,Jayne Ann Krentz,2001,Jove Books
38915,Light in Shadow,Jayne Ann Krentz,2003,Jove Books
8454,Forever and Always,Jude Deveraux,2003,Pocket Books
24140,Love a Dark Rider,Shirlee Busbee,1994,Harper Mass Market Paperbacks
43711,Angel,Barbara Taylor Bradford,1995,Ballantine Books
53527,The Empty House,Rosamunde Pilcher,1995,Dell Publishing Company
25299,Twist of Fate,Mary Jo Putney,2003,Jove Books
59494,On a Wild Night (Cynster Novels),Stephanie Laurens,2002,Avon
40390,The Widow's Kiss,JANE FEATHER,2002,Bantam
1601,Don't Look Back,Amanda Quick,2003,Bantam Books
12113,The Bride Hunt,JANE FEATHER,2004,Bantam
22788,The Target,Catherine Coulter,1999,Jove Books
15950,Out of the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
13514,Grand Passion,Jayne Ann Krentz,1997,Pocket
1869,Eye of the Beholder,Jayne Ann Krentz,1999,Pocket
5621,Survival of the Fittest: An Alex Delaware Novel,Jonathan Kellerman,1998,Bantam
45093,Acorna's People,Anne McCaffrey,2000,HarperTorch
8745,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
10802,The Twilight Before Christmas,Christine Feehan,2003,Pocket Star
23849,Illusions : A Novel,Janet Dailey,1999,HarperTorch
1814,Woman's Book of Rituals and Celebrations,Barbara Ardinger,1992,Pub Group West
1811,The Land of Narnia: Brian Sibley Explores the World of C.S. Lewis,Brian Sibley,1990,HarperCollins Publishers
5464,Digger,Joseph Flynn,1998,Bantam Books
6367,See Jane Run,Joy Fielding,1992,Avon
54816,Death of an Expert Witness,P. D. James,1985,Warner Books Inc
13313,The Cat Who Came for Christmas,Cleveland Amory,1989,Penguin USA
14010,Stitches in Time,Barbara Michaels,1996,HarperCollins Publishers
2882,Cities of the Dead,Linda Barnes,1991,Fawcett Books
9161,"Welcome to Camp Nightmare (Goosebumps, No 9)",R. L. Stine,1995,Scholastic
3846,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1989,Spectra
39431,Foundation's Edge (Foundation Novels (Paperback)),ISAAC ASIMOV,1983,Del Rey
7708,Everything's Eventual : 14 Dark Tales,Stephen King,2002,Scribner
37097,Defcon One,Joe Weber,1990,Jove Books
2871,The White Plague,Frank Herbert,1991,Ace Books
21277,Mythology,Edith Hamilton,1991,Signet Book
2774,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books
53916,Sense and sensibility,Jane Austen,1996,Barnes &amp; Noble
21269,The Deep End of the Ocean,Jacquelyn Mitchard,1997,New Amer Library
33509,Dolores Claiborne,Stephen King,1995,New Amer Library
52640,A Stranger in the Mirror,Sidney Sheldon,1988,Warner Books
40144,House On Olive Street,Robyn Carr,1999,Mira
5245,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam
6791,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
39189,Taltos: Lives of the Mayfair Witches,Anne Rice,1994,Alfred A. Knopf
110,What Dreams May Come : A Novel,Richard Matheson,1998,Tor Books
29372,Dirty Jokes and Beer : Stories of the Unrefined,Drew Carey,1998,Hyperion
23353,Gerald's Game,Stephen King,2001,Signet Book
8928,FORREST GUMP (Movie Tie in),Winston Groom,1994,Pocket
13131,Rose Madder,Stephen King,2004,Signet Book
41276,"Eckankar: Ancient Wisdom for Today: How Past Lives, Dreams, and Soul Travel Help You Find God",Todd Cramer,1995,Eckankar
114,When the Wind Blows,James Patterson,1999,Warner Vision
14683,Bird's-Eye View,J. F. Freedman,2002,Warner Vision
1815,James Herriots Dog Stories,James Herriot,1987,St Martins Press
23831,Eaters of the Dead,MICHAEL CRICHTON,1988,Ballantine Books
1816,Tidings of Great Joy,Sandra Brown,1997,Bantam
71015,Neither Here nor There: Travels in Europe,Bill Bryson,1999,Perennial
21708,"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,1985,Penguin Books
62320,Emergency Doctor,Edward Ziegler,1995,Ballantine Books
66585,Forge of the Elders,L. Neil Smith,2001,Baen
68171,Twilight of the Empire,Simon R. Green,1997,Roc
45286,Blue Moon Rising (Hawk &amp; Fisher),Simon R. Green,2000,Roc
68166,Deathstalker: Being the First Part of the Life and Times of Owen Deathstalker (Owen Deathstalker),Simon R. Green,1995,Roc
8558,Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
47706,Voice of the Blood,Jemiah Jefferson,2001,Leisure Books
2466,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group
55067,Wolf's Hour,Robert McCammon,1990,Pocket
1817,Does My Bum Look Big in This?,Arabella Weir,1999,Trafalgar Square
43917,Naked Came the Manatee,Carl Hiaasen,1998,Ballantine Books
54311,The Crown of Columbus,Louise Erdrich,1992,Harper Mass Market Paperbacks
63074,The Portable Henry Rollins,Henry Rollins,1998,Villard Books
36927,Books of Blood: Volumes One to Three,Clive Barker,1998,Berkley Publishing Group
1473,Last Chance Saloon,Marian Keyes,2002,Avon
49133,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
39590,First Test (Protector of the Small),Tamora Pierce,2000,Random House Children's Books
3260,"When Hope Springs New (Canadian West, Book 4)",Janette Oke,1986,Bethany House
57635,My Antonia: And Related Readings (Literature Connections),Willa Cather,1996,Houghton Mifflin School
4650,Irish Gold (Nuala Anne McGrail Novels),Andrew M. Greeley,1995,Forge Books
12145,Slightly Single (Red Dress Ink (Paperback)),Wendy Markham,2002,Red Dress Ink
17061,Back Bay,William Martin,1992,Warner Books
34458,Home to You (Harlequin American Romance),Muriel Jensen,2000,Harlequin
26446,TENDER IS THE NIGHT,F. Scott Fitzgerald,1995,Scribner
2726,Persuasion: With a Memoir of Jane Austen,Jane Austen,1998,Penguin USA (Paper)
23377,When the Bough Breaks (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994,Bantam Books
31007,The Jester,James Patterson,2004,Warner Books
45966,CORELLI'S MANDOLIN : A Novel,LOUIS DE BERNIERES,1994,Pantheon
6826,A Man in Full,Tom Wolfe,1999,Bantam
57752,Bunnicula: A Rabbit-Tale of Mystery,Deborah and James Howe,1997,Scholastic Inc.School Market Edition
5159,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books
64772,"As Time Goes by (California Series, Book 2)",Lori Wick,1992,Harvest House Pub
37968,"Are You Lonesome Tonight? (Harlequin Temptation, No. 958)",Wendy Etherington,2004,Harlequin
45202,Mary Reilly,Valerie Martin,1990,Doubleday Books
459,Two Old Women,Velma Wallis,1994,Perennial
26085,Vampires Don't Wear Polka Dots (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1997,Scholastic
43082,"All Chalked Up (Powerpuff Girls Chapter Book, 2)",Amy Keating Rogers,2000,Volo Paperbacks
16064,"What Remains to Be Discovered : Mapping the Secrets of the Universe, the Origins of Life, and the Future of the Human Race",John Maddox,1998,Free Press
22036,Ever Since Darwin: Reflections in Natural History,Stephen Jay Gould,1992,W. W. Norton &amp; Company
36350,Reason for Hope : A Spiritual Journey,Jane Goodall,2000,Warner Books
1454,Story of O,Pauline Reage,1989,Ballantine Books
2595,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks
46085,The Complete Short Stories of Mark Twain (Bantam Classic),Mark Twain,1990,Bantam Books
14345,Charlie and the Chocolate Factory (Puffin Novels),Roald Dahl,1998,Puffin Books
1514,The Te of Piglet,Benjamin Hoff,1992,Dutton Books
34339,The Crucible: A Play in Four Acts (Twentieth-Century Classics),Arthur Miller,1995,Penguin Books
24581,"Twelfth Night, Or, What You Will (Signet Classic Shakespeare Series)",William Shakespeare,1991,Signet Classics
16200,Animal Farm: A Fairy Story,George Orwell,1996,Plume Books
34673,"A Searching Heart (Prairie Legacy, No. 2)",Janette Oke,1999,Bethany House Publishers
8753,Drums of Autumn,DIANA GABALDON,1997,Dell
11345,Voyager,DIANA GABALDON,1994,Dell
61020,Outlander,Diana Gabaldon,1998,Delta
4482,Last Man Standing,David Baldacci,2002,Warner Vision
40269,Don Quixote,Miguel De Cervantes Saavedra,1997,NTC/Contemporary Publishing Company
58515,The Trial,Franz Kafka,2001,Vintage
28328,Tinker Tailor Soldier Spy,John le Carre,1995,Pan Macmillan
9297,Vernon God Little: A 21st Century Comedy in the Presence of Death,D. B. C. Pierre,2003,Faber &amp; Faber
12428,"Beyond Jennifer &amp; Jason, Madison &amp; Montana : What To Name Your Baby Now",Linda Rosenkrantz,2000,St. Martin's Paperbacks
1818,Microsklaven.,Douglas Coupland,1998,Goldmann
11712,PIONEER WOMEN,Joanna Stratton,1982,Touchstone
27829,I Haven't Understood Anything Since 1962,LEWIS GRIZZARD,1993,Ballantine Books
19721,"One True Love? (Harlequin Flipside, No. 2)",Stephanie Doyle,2003,Harlequin
19725,"Who Needs Decaf? (Harlequin Flipside, No. 6)",Tanya Michaels,2003,Harlequin
19712,Slightly Settled (Red Dress Ink),Wendy Markham,2004,Red Dress Ink
2030,Bet Me,Jennifer Crusie,2004,St. Martin's Press
5698,Marrying the Mistress,Joanna Trollope,2000,Viking Books
21460,Winter Prey,John Sandford,2004,Berkley Publishing Group
38319,A Collection of Beauties at the Height of Their Popularity: A Novel,Whitney Otto,2003,Random House Trade
57759,Gravity : A Novel of Medical Suspense,Tess Gerritsen,2000,Pocket
19710,Up &amp; Out (Red Dress Ink),Ariella Papa,2003,Red Dress Ink
19698,Househusband,AD HUDLER,2004,Ballantine Books
46582,Elegance : A Novel,Kathleen Tessaro,2003,William Morrow
52792,Salem Falls,Jodi Picoult,2001,Atria
54735,Killing Grounds: A Kate Shugak Mystery (Kate Shugak Mystery/Dana Stabenow),Dana Stabenow,1998,Putnam Pub Group
9396,Picture Perfect,Jodi Picoult,2002,Berkley Publishing Group
886,Harvesting the Heart,Jodi Picoult,1995,Penguin Books
5453,Just One Look,Harlan Coben,2004,Dutton Books
57495,Therapy,Jonathan Kellerman,2004,Ballantine Books
20380,She's Not There : A Life in Two Genders,JENNIFER FINNEY BOYLAN,2003,Broadway
57646,Three Wishes,Liane Moriarty,2004,HarperCollins
70019,Killing for Company: The Story of a Man Addicted to Murder,Brian Masters,1994,Dell Publishing Company
70033,Won't You Come Home Billy Bob,Lewis Grizzard,1985,Not Avail
70225,WOMEN,Mark Baker,1991,Pocket
24794,One False Move (Myron Bolitar Mysteries (Paperback)),HARLAN COBEN,1999,Dell
51165,"Claudia and the Middle School Mystery (Baby-Sitters Club, 40)",Ann M. Martin,1991,Scholastic
6807,"The Middle School Gets Married (Sweet Valley Twins, No 68)",Francine Pascal,1993,Skylark
5767,Twits,Roald Dahl,0,Scholastic Inc
45335,Caboose Mystery (Boxcar Children (Paperback)),Gertrude Chandler Warner,1999,Scholastic
42657,"Mystery Ranch (The Boxcar Children, Book 4)",Gertrude Warner,1989,Scholastic Inc
14478,Emily's Runaway Imagination (Cleary Reissue),Beverly Cleary,1990,HarperTrophy
46415,Moving Finger,Agatha Christie,1982,Bantam Doubleday Dell
14349,The Last Manly Man (Robin Hudson Mysteries (Paperback)),Sparkle Hayter,2001,Penguin Books
23176,London Fields (Vintage International),MARTIN AMIS,1991,Vintage
9626,Mr. White's Confession : A Novel,Robert Clark,1999,Picador
14256,Ella Enchanted (Newbery Honor Book),Gail Carson Levine,1997,HarperCollins
2238,A Friend of the Family,Lisa Jewell,2003,Dutton Books
6033,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001,Avon Books
50595,Geek Love,Katherine Dunn,2002,Vintage Books USA
1822,The infernal,Kim Wilkins,1997,Arrow
38310,Howards End,E. M. Forster,1992,Signet Book
16227,About a Boy,Nick Hornby,2000,Penguin Books Ltd
3563,A Patchwork Planet,Anne Tyler,1998,Random House Inc
525,Daddy,DANIELLE STEEL,1990,Dell
2540,Darkest Hour (Cutler),V.C. Andrews,1993,Pocket
61094,Small Town Girl,LaVyrle Spencer,1997,Putnam Pub Group
13248,Wings,DANIELLE STEEL,1994,Delacorte Press
24639,A Separate Peace,John Knowles,2003,Scribner
27321,Boy Still Missing : A Novel,John Searles,2002,Perennial
20343,All Hallow's Eve,Richard Laymon,1998,Trafalgar Square
34161,Endless Night,Richard Laymon,2004,Leisure Books
34171,The Wind Caller,P. D. Cacek,2004,Leisure Books
10014,The Amateur Marriage: A Novel,ANNE TYLER,2004,Knopf
929,Open House,Elizabeth Berg,2000,Random House Trade
10448,What We Keep,Elizabeth Berg,2002,Ballantine Books
12103,Killjoy,Julie Garwood,2003,Ballantine Books
20308,No Way Out,Andrea Kane,2001,Pocket
20154,Safe Harbor,Luanne Rice,2003,Bantam Books
19951,Don't Tell,Karen Rose,2003,Warner Forever
15345,The Center of Everything,Laura Moriarty,2003,Hyperion
11743,Flowers In The Attic (Dollanganger),V.C. Andrews,1990,Pocket
61136,Esperanza Rising,Pam Munoz Ryan,2002,Scholastic Paperbacks
8593,Dangerous to Know,Barbara Taylor Bradford,1995,Harpercollins
12844,Pequenas Infamias: Premio Planeta 1998 (Autores Espanoles E Iberoamericanos),Carmen Posadas,1999,"Editorial Planeta, S.A. (Barcelona)"
36910,Sullivan's Sting,Lawrence Sanders,1997,Berkley Publishing Group
2126,Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994,Bantam Books
30213,The Mysterious Affair at Styles,Agatha Christie,2004,Berkley Publishing Group
16157,Tell Me Your Dreams,Sidney Sheldon,1998,William Morrow &amp; Company
47543,Tishomingo Blues,Elmore Leonard,2002,HarperTorch
47462,Los Pilares de la Tierra,Ken Follett,1999,"Plaza &amp; Janes Editores, S.A."
18992,"L'Etranger (Collection Folio, 2)",Albert Camus,1990,Gallimard Jeunesse
31890,The Metamorphosis (Bantam Classics),FRANZ KAFKA,1972,Bantam
3487,Name of the Rose,Umberto Eco,1986,Warner Books
11134,The Pilot's Wife,Anita Shreve,2001,"Little, Brown"
40947,"Frankenstein: Or, the Modern Prometheus (World's Classics)",Mary Wollstonecraft Shelley,1982,Oxford University Press
6334,The Crazed: A Novel,HA JIN,2002,Pantheon
33547,1984,George Orwell,1980,New Amer Library
39001,The Crying of Lot 49: A Novel (Perennial Fiction Library),Thomas Pynchon,1990,Harpercollins
3483,Obasan,Joy Kogawa,1983,Penguin Books
18643,Other Side of Midnight,Sidney Sheldon,1977,Dell Publishing Company
21108,Her Own Rules,Barbara Taylor Bradford,1997,HarperTorch
13813,Women in His Life,Barbara Taylor Bradford,1994,Ballantine Books
5909,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter
1103,Count Karlstein,Philip Pullman,2000,Yearling Books
14453,Smilla's Sense of Snow,Peter Hoeg,1993,Farrar Straus &amp; Giroux
33636,"Taking Charge (Sweet Valley Twins, No 26)",Francine Pascal,1989,Sweet Valley
6769,"Teamwork (Sweet Valley Twins, No 27)",Francine Pascal,1989,Sweet Valley
6770,"JESSICA AND THE BRAT ATTACK (Sweet Valley Twins, No 29)",FRANCINE PASCAL,1989,Sweet Valley
3701,"JUMPING TO CONCLUSIONS (Sweet Valley Twins, No 24)",FRANCINE PASCAL,1988,Sweet Valley
40427,"JESSICA'S BAD IDEA (Sweet Valley Twins, No 31)",FRANCINE PASCAL,1989,Sweet Valley
25487,"Claim to Fame (Sweet Valley Twins, No 23)",Francine Pascal,1988,Sweet Valley
50945,"OUT OF PLACE (Sweet Valley Twins, No 22)",FRANCINE PASCAL,1988,Sweet Valley
28410,"Class Trip (Sweet Valley Twins Super Edition, No 1)",Francine Pascal,1988,Sweet Valley
29599,Dreamer's Dictionary,Tom Corbett,1986,Warner Books
60471,The Complete Idiot's Guide to the Perfect Wedding (Serial),Teddy Lenderman,1995,Alpha Books
18698,Lion's Bride,IRIS JOHANSEN,1996,Bantam
24155,Wicked Widow,Amanda Quick,2001,Bantam Books
30807,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
1824,The Short History of a Prince: A Novel,Jane Hamilton,1999,Anchor Books/Doubleday
22417,Swallows and Amazons (Godine Storyteller),Arthur Ransome,1986,David R. Godine Publisher
67234,"Across the Nightingale Floor (Tales of the Otori, Book One)",Lian Hearn,2003,Riverhead Books
66476,The List,Steven Paul Martini,1997,Putnam Pub Group
36050,The Road to Mars,Eric Idle,2001,Random House~trade
40013,Road to Gandolfo,Robert Ludlum,1982,Bantam Doubleday Dell
62831,Berlin Game,Len Deighton,1990,Ballantine Books
19792,Aftermath : A Novel of Suspense,Peter Robinson,2002,Avon
4414,Savannah,Eugenia Price,1984,Berkley Publishing Group
27078,The Queen's Fool : A Novel,Philippa Gregory,2004,Touchstone
10420,From a Buick 8,Stephen King,2003,Pocket Books
16609,Jennifer Government : A Novel,Max Barry,2003,Doubleday
5370,Black House,Stephen King,2002,Ballantine Books
35307,Angel,Garry D. Kilworth,1997,Tor Books (Mm)
41776,Mona Lisa Overdrive (Bantam Spectra Book),William Gibson,1989,Bantam
45097,The Treasure Box,Orson Scott Card,1997,HarperTorch
8338,The Liar,Stephen Fry,1994,Soho Press
12311,The Dream of Scipio,Iain Pears,2002,Riverhead Books
55281,"The Gormenghast Novels: Titus Groan, Gormenghast, Titus Alone",Mervyn Peake,1995,Overlook Press
34077,"Crossroads of Twilight (Wheel of Time, Book 10)",Robert Jordan,2003,Tor Fantasy
15302,Blood Canticle (The Vampire Chronicles),ANNE RICE,2003,Knopf
27919,A Night to Remember,WALTER LORD,1997,Bantam
8871,A Thin Dark Line (Mysteries &amp; Horror),TAMI HOAG,1998,Bantam
468,Matilda,Roald Dahl,1990,Puffin Books
41311,What Your Doctor May Not Tell You About Menopause: The Breakthrough Book on Natural Progesterone,John R. Lee,1996,Warner Books
27876,Dear Mr Henshaw,Beverly Cleary,1984,Bantam Doubleday Dell
36015,Story of Ferdinand (Picture Puffin),Munro Leaf,1977,Puffin Books
55680,Sounder,William Armstrong,0,Scholastic Inc
11365,Sadako and the Thousand Paper Cranes,Eleanor Coerr,1979,Yearling
33943,BLACK MOON,S. J. Gaither,2001,Xlibris Corporation
57703,Black and Blue (Oprah's Book Club),ANNA QUINDLEN,2000,Delta
27136,TickTock,Dean R. Koontz,1997,Ballantine Books
14025,The Perfect Husband,LISA GARDNER,1997,Bantam
1562,New Attitude,Charlotte Hughes,2001,Mira
6040,Soul Mates: Honoring the Mysteries of Love and Relationship,Thomas Moore,1994,Harpercollins
20633,The Falls,Karen Harper,2003,Mira
8533,Public Secrets,Nora Roberts,1990,Bantam
10742,Time And Again,Nora Roberts,2001,Silhouette
9622,Coldheart Canyon: A Hollywood Ghost Story,Clive Barker,2001,HarperCollins Publishers
34805,Running Scared,Elizabeth Lowell,2003,Avon Books
22751,Thunderhead,Douglas Preston,2000,Warner Books
15850,The Klone and I: A High-Tech Love Story,Danielle Steel,1998,Delacorte Press
18785,Snowfall,Sharon Sala,2001,Mira
4512,Storm,Boris Starling,2000,Signet Book
26619,The Night Watch,Sean Stewart,1998,Ace Books
20654,Last Lover,Laura Van Wormer,2001,Mira
2113,Reckless Endangerment,Robert K. Tanenbaum,1999,Signet Book
2518,The Face of Deception,Iris Johansen,1999,Bantam Books
6658,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books
2092,Walking After Midnight,KAREN ROBARDS,1995,Dell
29247,Beautiful Dreamer,Elizabeth Lowell,2001,Avon
59556,"Forever, Victoria",Dorothy Garlock,1993,Warner Books
28956,Mistrals Daughter,Judith Krantz,1982,Random House Value Publishing
