ID,Drama,Comedy,Action,Thriller,Sci-Fi,Romance,Adventure,Crime,War,Horror,Children,Animation,Mystery,Musical,Fantasy,Film-Noir,Western,Documentary
73,33,95,151,67,80,17,70,20,18,19,18,9,6,6,11,0,4,0
74,22,14,3,12,0,5,0,12,2,0,2,0,12,4,0,6,1,1
75,19,83,18,6,20,11,46,0,5,0,134,62,3,29,22,0,1,0
76,48,24,24,21,6,10,1,16,3,0,2,7,3,0,0,1,0,0
77,17,17,4,5,1,4,1,0,2,3,1,2,0,0,0,0,0,0
78,32,106,1,2,3,32,7,2,3,0,27,21,1,43,4,0,1,0
79,12,6,6,11,4,4,1,4,0,3,3,3,14,1,1,2,0,0
80,21,12,13,7,7,9,8,2,8,0,12,9,0,5,1,0,1,0
81,38,21,15,16,10,4,7,13,14,5,0,1,9,2,1,11,4,1
82,51,22,40,59,30,16,13,10,7,9,0,0,17,0,1,1,2,0
83,24,37,23,12,17,17,28,3,1,6,20,9,2,2,36,2,1,0
84,9,7,21,6,14,4,12,3,9,3,0,0,0,0,2,0,0,0
85,17,12,7,9,3,2,2,1,1,6,1,1,2,1,0,0,0,1
86,6,11,13,10,10,10,21,1,2,3,12,3,4,5,4,1,1,0
87,17,9,51,10,11,8,11,5,5,3,2,1,0,1,1,0,2,1
88,48,23,6,6,3,9,3,6,8,1,0,0,4,0,0,3,0,0
89,9,9,6,2,0,1,1,1,3,0,0,0,0,0,0,0,0,0
90,72,86,63,66,21,24,25,28,12,8,10,6,18,4,5,5,4,0
91,13,37,5,1,0,10,3,3,6,1,0,0,2,1,1,0,1,0
92,97,164,100,72,63,72,92,15,16,22,110,64,10,54,40,1,4,0
93,23,36,184,66,66,25,79,16,19,11,25,19,2,5,27,1,5,0
94,2,4,3,4,5,0,1,0,0,17,2,1,0,1,0,0,0,0
95,40,38,39,31,12,14,14,15,9,1,1,1,3,1,0,1,1,0
96,47,21,19,18,6,11,9,6,10,0,8,5,2,3,2,1,3,0
97,66,42,11,25,8,20,11,14,18,11,6,4,13,12,2,13,5,0
98,8,7,6,2,3,3,4,2,5,2,0,0,1,1,0,0,0,0
99,47,50,15,14,6,12,9,11,6,2,13,8,1,5,4,0,1,0
100,24,11,62,14,24,14,33,6,14,2,1,0,4,1,2,1,3,0
101,19,23,99,33,34,12,42,4,8,4,5,0,1,0,5,0,1,0
102,52,45,20,28,17,24,8,8,2,2,9,8,8,3,2,6,2,0
103,19,19,101,54,39,10,34,7,10,5,7,4,5,4,2,0,0,0
104,15,18,10,11,6,3,2,4,1,4,2,2,0,0,0,1,1,0
105,17,6,57,17,16,9,13,8,10,4,0,0,0,1,3,0,3,0
106,21,23,5,7,2,42,3,0,6,1,3,2,2,6,1,0,0,0
107,56,19,14,27,9,17,6,12,15,6,3,2,7,9,2,8,4,1
108,8,14,11,7,7,3,7,1,2,4,2,2,1,4,0,0,1,1
109,10,45,20,7,20,12,24,1,8,1,21,8,4,13,9,1,2,0
110,25,22,32,25,8,7,10,50,1,6,0,0,8,0,2,1,0,0
111,45,37,12,17,4,23,5,8,4,0,3,3,5,1,1,1,1,2
112,6,12,1,14,2,2,3,7,0,1,27,35,6,14,2,23,0,0
113,17,14,30,22,28,6,12,2,5,10,1,2,1,1,0,0,0,1
114,22,33,2,1,8,11,22,0,1,1,71,42,2,27,13,0,1,0
115,6,9,13,12,12,0,9,2,1,9,2,3,1,3,0,0,0,0
116,23,26,27,18,15,4,15,9,5,11,8,2,2,0,18,1,1,0
117,78,110,196,95,154,34,112,21,30,119,64,52,7,38,34,3,16,1
118,55,88,118,42,49,47,65,13,26,3,5,5,3,2,10,3,2,0
119,10,56,9,7,10,10,14,0,1,7,58,32,4,11,8,1,2,0
120,36,14,19,15,7,2,6,14,7,5,1,1,2,1,1,0,1,0
121,9,18,35,11,51,4,24,2,5,16,6,5,1,2,5,1,1,0
122,13,8,52,17,18,6,19,9,7,2,0,1,0,1,2,0,1,0
123,255,190,140,146,47,71,60,61,41,40,15,6,29,4,6,14,26,0
124,18,3,5,6,1,2,1,3,2,0,2,0,0,0,0,1,0,0
125,21,10,54,21,13,7,13,12,11,3,0,0,1,0,1,1,4,0
126,27,15,17,4,3,25,5,5,3,0,0,0,2,2,1,2,0,0
127,68,32,67,68,41,22,38,19,20,9,6,4,8,0,5,3,3,1
128,5,9,5,2,4,3,3,0,3,2,3,3,0,4,1,0,1,0
129,50,37,87,55,27,14,39,60,6,6,2,3,9,1,2,7,3,0
130,28,19,110,35,35,14,34,15,20,11,1,2,2,3,3,1,6,0
131,155,90,36,49,28,47,21,22,24,13,11,13,10,11,6,7,2,10
132,18,87,9,1,3,13,9,4,0,4,11,4,1,4,4,0,1,0
133,92,48,21,46,9,32,7,12,9,13,4,1,9,3,4,1,2,0
134,34,55,127,58,61,19,45,17,10,5,8,5,5,5,6,0,4,0
135,17,34,12,15,9,8,7,3,1,7,6,7,4,2,0,2,1,0
136,125,159,42,43,51,58,37,15,18,31,50,29,16,45,20,7,8,11
137,69,52,62,52,34,56,33,23,17,16,8,5,17,8,5,4,7,0
138,34,9,19,17,6,7,5,37,4,1,1,3,5,0,1,8,0,0
139,54,78,73,24,54,15,54,12,22,37,41,35,6,28,16,5,4,8
140,20,14,11,11,3,9,7,5,6,2,2,2,7,3,1,7,0,1
141,9,4,4,4,3,3,2,2,2,0,1,1,8,0,0,3,1,0
142,20,12,9,9,7,5,5,4,3,0,9,7,1,5,3,1,1,1
143,25,29,29,18,4,20,10,0,6,1,1,2,2,0,0,0,0,0
144,13,8,9,8,9,3,1,5,4,1,2,1,5,1,0,0,1,1
145,18,17,5,4,6,3,4,3,0,2,3,1,2,1,1,0,0,0
146,162,144,64,63,42,105,45,30,22,20,43,30,20,53,15,22,3,0
147,65,40,110,56,32,30,43,24,26,4,11,6,8,3,13,1,4,1
148,193,180,255,123,119,104,124,31,53,28,69,24,22,29,35,3,13,2
149,256,165,183,153,61,77,56,83,42,18,11,9,24,9,11,11,3,21
150,128,80,24,25,16,36,15,12,17,14,12,9,9,8,7,4,6,3
151,174,232,100,75,95,171,54,31,23,13,15,4,7,11,21,3,3,0
152,7,20,3,3,0,3,3,1,0,3,2,2,0,0,0,0,0,0
153,5,18,0,4,1,2,2,1,0,3,3,2,0,1,1,0,0,0
154,16,15,8,8,4,2,4,4,2,5,5,5,0,3,0,1,0,0
155,30,74,10,5,8,13,9,6,7,1,6,1,1,3,3,0,1,0
156,56,66,15,28,2,82,10,7,12,2,5,3,18,4,1,2,1,0
157,148,195,129,67,82,59,79,27,44,12,17,12,13,13,12,14,10,2
158,10,4,3,4,0,3,2,2,3,2,2,1,2,1,0,5,0,0
159,9,21,8,4,2,7,3,1,3,2,4,5,0,0,0,1,0,0
160,9,2,7,4,7,2,5,1,1,2,2,1,1,1,2,0,0,0
161,175,81,24,33,19,43,16,21,32,8,7,7,12,7,4,5,8,13
162,24,39,52,30,11,23,20,15,5,5,10,11,2,7,0,1,0,0
163,136,161,203,131,66,110,67,46,23,76,24,19,15,5,19,3,8,1
164,14,6,2,2,1,8,1,1,5,0,2,1,2,2,2,0,1,0
165,18,33,30,24,46,1,16,6,10,23,4,2,6,4,4,2,2,1
166,139,137,80,95,70,58,60,22,18,40,40,17,27,17,19,6,2,4
167,27,22,15,9,2,12,8,2,4,1,1,1,2,0,0,0,2,0
168,9,12,9,3,6,0,5,3,3,2,4,3,0,4,2,0,0,0
169,200,204,145,91,65,67,69,44,39,29,31,18,19,24,18,10,13,7
170,33,12,40,24,31,4,12,8,15,9,2,1,2,2,2,3,4,0
171,9,4,4,4,1,1,2,4,3,0,1,0,2,0,1,3,0,9
172,6,4,1,6,2,2,2,3,2,0,0,1,3,0,0,13,0,3
173,275,121,88,111,47,67,56,67,42,23,13,12,34,17,7,30,14,28
174,20,12,88,28,29,9,29,8,11,6,3,1,1,1,3,0,3,0
175,166,119,29,28,22,53,29,24,14,17,29,16,11,26,8,5,2,8
176,9,73,10,3,8,11,11,2,1,4,2,2,2,5,5,2,1,0
177,11,8,18,11,24,5,18,0,4,1,2,2,2,0,5,2,1,1
178,22,46,21,5,16,24,26,3,5,0,25,15,3,34,10,2,8,0
179,42,27,44,22,75,7,30,6,8,6,4,1,1,2,6,1,1,0
180,43,19,4,9,1,4,2,8,3,1,2,1,2,0,0,3,0,1
181,93,141,120,51,41,32,50,41,24,15,12,7,5,6,10,3,10,1
182,28,53,14,11,5,11,3,9,6,1,4,4,1,0,1,0,1,1
183,41,32,12,23,13,12,4,8,7,6,4,4,15,4,1,15,1,0
184,26,22,22,9,10,8,15,5,4,0,39,24,2,17,8,1,1,0
185,13,8,47,20,13,5,20,3,8,2,0,0,0,0,1,0,1,0
186,24,39,28,21,21,13,12,7,7,11,36,38,2,17,4,1,2,1
187,292,124,31,40,9,77,9,33,11,8,17,9,13,12,2,2,3,17
188,19,13,30,20,20,3,7,5,5,7,0,1,2,0,1,2,3,0
189,17,6,9,7,3,4,3,1,5,2,1,0,1,0,3,0,2,0
190,56,51,34,28,17,11,17,20,9,21,10,9,4,13,4,5,3,0
191,10,16,4,4,2,0,2,1,0,0,0,0,1,0,2,0,0,0
192,179,150,199,135,93,79,84,45,28,20,51,22,24,18,22,5,11,1
193,101,97,24,36,21,39,27,15,17,6,13,13,14,17,4,11,1,4
194,10,49,5,1,2,16,4,1,3,0,10,3,0,2,3,0,1,0
195,305,256,191,134,144,81,131,53,45,88,68,31,33,21,37,12,10,8
196,13,8,3,19,2,2,0,8,2,0,1,1,5,0,0,3,0,0
197,16,9,4,3,2,3,3,0,2,0,0,0,0,0,0,0,0,0
198,85,158,152,62,73,32,82,30,24,16,54,30,11,26,19,1,10,1
199,192,108,158,74,87,102,63,22,46,16,13,2,9,7,10,1,5,0
200,3,16,5,5,3,4,5,2,0,0,4,2,0,0,0,0,0,0
201,44,51,5,9,0,26,3,4,3,0,0,0,1,0,0,0,0,2
202,209,278,191,122,74,112,71,64,36,82,40,25,20,28,19,4,15,0
203,119,21,10,9,5,24,2,13,7,3,3,0,1,0,1,0,1,0
204,164,140,163,87,79,59,96,33,28,15,53,21,10,15,23,2,21,1
205,40,70,34,42,23,17,29,17,12,6,4,5,9,5,1,8,6,3
206,8,7,11,7,17,4,8,0,2,5,1,2,2,3,1,0,0,0
207,5,8,8,6,6,3,6,0,2,3,2,1,0,0,1,0,1,0
208,67,41,44,62,33,31,22,13,16,29,3,3,11,4,4,7,6,5
209,7,15,3,3,3,4,1,0,1,1,4,2,0,0,0,0,0,0
210,22,16,106,49,19,13,31,12,8,6,7,1,4,0,3,0,2,0
211,11,2,10,12,8,2,4,1,1,9,3,0,2,0,2,0,0,0
212,39,55,35,30,7,14,12,12,3,2,2,0,2,1,4,0,0,4
213,7,16,5,1,3,8,3,0,3,0,5,4,0,1,2,0,0,0
214,37,133,22,20,10,20,14,19,5,5,14,14,6,9,4,8,2,0
215,7,6,17,7,19,5,14,1,4,1,2,2,2,0,4,1,0,0
216,267,440,104,75,67,120,68,39,49,34,68,20,18,35,16,7,25,7
217,4,7,7,5,5,4,5,3,3,0,1,1,2,0,1,1,0,0
218,27,35,17,18,14,9,10,2,4,6,2,4,2,2,2,2,1,0
219,9,18,7,8,3,2,3,1,3,2,0,0,2,2,0,0,1,0
220,40,44,18,21,9,9,10,12,5,2,4,3,20,1,2,3,0,1
221,12,4,4,15,2,5,1,4,0,5,0,0,17,0,0,2,0,0
222,22,23,31,13,25,10,24,5,8,4,10,2,2,1,19,3,6,3
223,76,118,80,35,30,61,59,11,13,8,26,11,8,7,18,1,5,0
224,108,93,30,28,23,39,15,14,17,3,9,5,5,7,8,1,2,0
225,272,156,79,88,32,62,30,77,21,20,11,9,23,8,8,7,4,16
226,10,8,8,3,2,2,1,1,3,1,2,0,0,1,1,0,1,0
227,7,8,6,7,6,3,3,1,1,3,0,0,0,2,1,0,0,1
228,10,6,11,10,8,2,4,2,2,3,2,2,0,1,0,0,0,0
229,139,52,43,30,43,24,21,14,15,8,15,5,5,9,15,0,1,0
230,82,58,38,29,35,23,21,10,17,9,7,4,7,5,4,2,2,3
231,20,36,33,25,26,7,18,10,5,18,7,7,3,4,5,3,2,0
232,20,77,10,8,8,8,6,4,4,3,8,7,1,1,0,0,0,0
233,21,15,6,0,1,24,8,0,7,0,14,10,0,21,0,0,1,0
234,20,3,6,1,2,2,3,2,8,1,0,0,1,1,0,1,0,0
235,174,151,62,60,56,44,48,37,27,19,24,17,20,31,21,15,7,27
236,27,15,28,16,18,7,10,4,8,5,4,4,0,1,3,3,2,0
237,40,100,41,16,18,36,23,10,10,4,14,6,3,3,4,0,5,0
238,254,28,17,19,10,31,7,19,24,1,5,0,8,4,5,1,3,1
239,41,26,13,4,6,28,6,4,15,0,3,6,0,2,2,1,0,0
240,39,37,65,32,48,14,36,17,23,16,6,4,5,1,7,2,2,1
241,16,9,32,21,32,3,10,8,7,3,1,1,4,0,2,4,0,0
242,70,116,107,48,58,25,48,21,20,9,9,8,13,10,8,3,4,1
243,10,31,1,2,1,7,2,2,1,1,1,1,0,0,1,0,0,0
244,26,37,20,18,16,34,10,9,5,3,3,2,3,1,5,2,0,0
245,206,236,247,130,160,64,143,47,64,120,43,13,36,23,31,13,33,1
246,7,26,3,0,2,4,4,0,2,1,11,8,0,3,2,0,0,0
247,29,2,4,2,1,2,1,1,5,0,2,0,2,1,1,0,1,0
248,7,4,26,14,12,5,10,1,6,4,0,0,1,0,1,0,0,0
249,29,48,34,22,14,24,15,15,4,3,2,1,4,4,4,2,0,0
250,5,6,8,6,5,2,5,3,1,2,1,0,1,0,1,0,0,0
251,22,30,32,19,18,8,12,2,7,4,2,1,0,3,1,1,9,0
252,8,19,45,24,17,7,11,7,6,4,1,1,0,0,0,0,1,0
253,34,11,8,7,2,5,2,5,2,0,2,1,2,1,1,1,1,3
254,2,4,7,3,5,0,3,1,1,15,1,0,0,0,2,0,0,0
255,73,62,88,58,71,14,44,17,25,20,11,5,7,0,13,2,14,1
256,29,6,82,36,19,9,21,16,12,0,0,0,8,0,3,10,2,0
257,19,15,15,23,12,9,7,3,8,2,3,1,3,0,2,0,2,0
258,70,37,48,49,20,20,19,13,10,1,6,2,8,0,2,2,0,2
259,75,42,30,32,12,19,7,21,10,7,1,4,10,1,2,3,3,2
260,18,35,149,49,43,17,59,11,14,9,5,2,5,1,8,0,1,0
261,148,115,93,68,39,47,40,49,17,17,20,9,19,10,10,10,8,2
262,11,19,57,17,77,7,44,4,5,10,21,7,2,2,34,0,1,0
263,25,47,35,13,31,20,34,5,4,4,6,3,2,4,5,0,0,0
264,119,186,157,70,86,78,97,26,44,26,59,26,11,30,28,6,17,0
265,36,41,8,5,5,30,10,4,12,1,15,17,0,39,0,0,0,0
266,23,18,8,10,3,10,6,2,5,0,3,2,4,4,2,1,1,0
267,66,48,29,24,5,27,8,9,11,2,6,3,4,0,3,1,1,2
268,96,129,57,38,20,70,32,10,12,7,18,13,4,8,10,1,4,0
269,11,11,7,5,2,3,2,3,2,2,2,0,3,2,0,1,0,0
270,53,26,40,31,11,12,31,13,18,5,4,2,10,4,3,13,2,0
271,59,145,96,39,53,35,80,14,13,13,70,47,3,26,32,2,4,0
272,142,175,176,121,72,48,104,86,39,33,30,18,16,11,23,4,7,0
273,44,74,71,37,34,28,41,18,10,10,21,10,7,11,13,3,5,0
274,87,36,31,26,20,17,12,12,8,8,5,6,8,4,5,10,4,0
275,46,32,24,15,18,10,17,8,7,4,2,2,2,1,2,3,0,0
276,8,6,4,3,2,2,3,4,2,4,2,1,1,2,1,1,1,0
277,7,8,9,6,8,10,8,1,2,0,0,0,0,0,1,0,0,0
278,7,28,23,32,47,5,7,7,1,193,0,1,3,2,0,0,0,0
279,26,9,23,3,5,9,3,0,43,0,1,0,0,0,0,1,1,2
280,17,45,3,4,1,7,0,3,3,1,2,1,3,3,1,0,2,0
281,70,30,11,18,8,17,3,8,6,3,5,5,3,4,1,2,0,5
282,8,1,15,25,3,3,4,1,0,3,0,0,2,0,0,1,0,0
283,10,5,13,6,7,4,7,2,4,4,3,2,1,0,3,0,0,0
284,80,166,142,80,106,40,95,26,32,73,87,45,13,30,30,3,13,1
285,86,28,7,28,5,12,3,25,8,5,2,0,10,2,0,4,0,21
286,20,16,10,12,4,13,4,7,6,0,2,1,4,0,2,1,0,0
287,79,24,12,8,4,14,3,7,10,2,1,1,1,1,1,3,0,0
288,12,10,50,18,18,8,20,5,7,1,1,0,0,1,1,0,0,0
289,22,10,40,39,14,3,10,17,8,6,0,2,4,0,3,2,4,0
290,19,15,3,8,2,21,1,4,4,0,1,0,0,0,1,0,0,0
291,79,21,10,3,4,42,9,3,17,0,6,1,0,9,2,1,2,0
292,16,8,20,11,23,3,9,3,5,2,0,0,2,0,2,1,0,0
293,179,104,33,29,14,37,8,18,22,40,10,5,7,3,5,3,3,7
294,15,39,2,2,1,9,2,1,0,1,3,2,1,1,0,0,0,6
295,58,48,77,66,34,15,24,22,11,23,4,8,6,3,1,8,3,0
296,8,27,18,16,26,8,11,0,3,42,12,10,2,19,1,0,0,0
297,40,37,31,15,9,6,7,12,8,1,2,1,2,2,1,5,1,0
298,6,9,6,3,4,2,5,0,2,3,7,4,1,4,1,0,1,0
299,53,35,18,9,5,11,7,7,7,2,9,5,6,3,3,4,3,9
300,100,85,88,57,26,34,37,24,22,6,17,8,10,3,5,7,3,0
301,121,175,70,63,34,51,46,43,21,17,30,24,11,13,12,2,7,4
302,175,369,226,171,131,93,102,61,31,68,59,21,33,26,21,4,13,2
303,116,89,30,31,9,44,3,23,13,2,3,5,4,2,1,1,0,10
304,5,1,0,10,1,0,1,13,0,2,0,2,7,0,0,23,0,0
305,9,34,15,24,22,9,11,1,0,117,15,12,3,37,2,0,0,2
306,53,93,63,51,18,24,27,20,8,8,8,6,6,1,6,1,5,0
307,91,44,16,26,8,24,9,15,24,9,10,10,10,15,0,14,4,3
308,192,207,143,96,69,62,62,60,34,33,48,22,21,33,17,10,9,7
309,46,32,44,38,37,12,17,13,11,4,6,4,5,0,4,3,4,0
310,71,112,27,21,16,75,25,5,8,8,67,26,1,17,11,0,1,1
311,8,2,12,4,6,2,9,1,3,0,0,0,1,0,1,0,0,0
312,44,12,4,5,3,8,4,7,8,0,2,0,1,2,2,0,0,1
313,7,8,9,5,5,1,4,3,1,2,3,2,2,3,0,1,0,0
314,159,78,25,47,17,45,15,12,23,12,21,12,17,20,6,9,8,4
315,8,4,7,8,4,1,4,0,3,0,1,1,10,0,0,0,0,0
316,11,6,45,20,70,2,26,1,9,8,5,0,4,0,8,1,1,0
317,11,8,4,2,5,2,2,1,3,0,2,1,2,1,2,1,0,0
318,10,7,3,3,1,3,3,0,1,1,4,3,1,0,0,1,1,0
319,358,265,94,154,42,131,43,57,37,22,17,8,36,9,6,13,10,9
320,9,4,8,5,2,4,3,0,5,1,3,3,0,2,0,0,1,0
321,59,44,86,79,57,20,48,20,10,54,17,5,17,7,16,2,2,0
322,22,17,10,1,2,15,7,0,9,1,0,0,0,1,1,0,8,0
323,42,46,23,31,21,22,12,11,10,5,5,4,16,4,6,6,3,0
324,13,15,25,34,8,15,13,3,5,3,11,9,4,24,3,1,0,0
325,10,37,4,3,0,14,1,3,2,0,3,2,0,0,0,0,0,0
326,155,148,73,58,52,70,45,25,26,20,14,9,15,18,11,6,7,1
327,133,46,20,26,10,30,13,24,25,8,9,5,13,13,2,13,5,13
328,12,9,56,26,18,7,18,6,6,4,1,1,2,0,2,0,2,0
329,196,378,155,130,136,116,121,44,30,47,71,29,29,37,35,9,7,2
330,33,16,18,16,10,2,6,5,11,1,6,4,5,2,3,3,4,0
331,304,173,111,164,43,119,35,71,24,16,4,2,34,9,6,8,7,1
332,43,19,11,14,3,17,2,9,5,0,1,1,2,0,0,2,2,0
333,103,120,9,8,9,39,17,8,10,5,28,18,5,50,5,1,3,1
334,40,18,7,6,0,41,3,3,7,1,1,0,1,7,1,0,0,0
335,40,34,76,24,35,11,91,14,11,7,1,1,3,0,10,4,6,1
336,13,17,53,31,97,6,33,5,6,12,10,1,1,1,7,2,1,0
337,30,43,94,62,76,18,56,15,11,50,13,13,9,2,10,2,3,0
338,106,126,140,83,60,76,63,27,23,14,13,7,13,5,13,4,11,2
339,123,14,10,6,3,24,4,7,15,0,0,0,4,1,0,0,1,0
340,30,40,18,14,10,12,15,5,8,10,18,14,9,13,5,4,0,0
341,7,3,13,4,6,3,4,3,2,1,0,0,1,1,0,0,0,0
342,26,56,50,21,50,14,34,4,7,4,11,4,3,4,8,1,6,0
343,59,114,85,51,91,49,64,10,11,23,34,20,9,23,15,4,10,0
344,22,20,52,7,23,6,22,2,42,3,4,4,1,0,3,2,3,1
345,24,3,3,2,1,5,1,3,2,0,1,0,0,0,0,0,0,0
346,109,173,26,12,13,77,21,12,19,3,28,14,5,39,6,0,6,0
347,58,33,11,10,1,43,5,8,12,0,3,3,3,5,0,1,0,2
348,33,23,29,1,10,17,13,0,45,2,5,5,1,29,2,0,26,0
349,74,95,110,79,38,23,34,35,22,23,0,0,9,2,5,2,5,0
350,12,27,27,25,16,8,18,4,1,3,8,5,3,2,2,0,1,0
351,23,36,58,20,12,17,17,8,10,2,5,8,2,4,3,0,0,0
352,337,297,222,136,126,98,112,76,47,69,53,26,31,17,28,8,20,10
353,15,4,6,8,0,2,1,11,0,1,1,1,1,1,0,2,0,0
354,21,15,14,17,7,5,8,1,2,9,5,3,1,0,1,1,0,0
355,113,161,130,91,74,51,60,27,19,30,52,40,14,21,21,2,4,0
356,5,1,3,8,6,0,7,0,0,11,1,0,0,0,1,0,0,0
357,24,15,6,12,12,4,6,4,4,4,12,3,2,2,4,2,0,0
358,36,13,13,4,6,16,11,11,14,1,5,3,1,8,5,4,6,7
359,8,14,21,11,40,2,17,2,2,3,4,2,1,2,3,2,0,0
360,18,13,31,6,21,8,47,1,6,2,18,9,1,3,6,1,1,0
361,11,7,6,6,2,3,3,1,1,1,2,2,0,2,0,0,1,0
362,17,15,33,14,11,7,7,8,5,6,2,1,1,1,0,0,0,0
363,13,14,11,12,5,6,8,3,1,1,5,5,1,4,0,1,0,0
364,12,13,2,4,0,8,0,4,0,0,0,0,3,0,0,1,0,0
