ID,Age,Location,Seniority-Book
4181,44,usa,1999
4183,57,usa,2002
4185,63,usa,2001
4187,35,usa,1997
4188,34,usa,2002
4191,26,usa,1993
4197,61,usa,1998
4198,14,usa,2002
4207,19,spain,2003
4223,28,germany,1998
4225,33,canada,2002
4228,41,usa,1992
4243,52,australia,2004
4248,28,canada,1995
4253,36,germany,1999
4255,103,switzerland,1990
4260,31,france,2002
4275,15,spain,2003
4285,50,usa,2004
4286,51,usa,2003
4309,34,usa,2002
4320,26,spain,2003
4324,25,spain,2001
4328,24,italy,1996
4333,17,spain,2002
4334,38,italy,1997
4339,33,spain,2003
4351,73,usa,2004
4363,22,spain,2001
4365,19,canada,1996
4369,74,usa,2001
4370,46,canada,2001
4375,32,usa,1997
4385,33,usa,1992
4396,20,usa,2001
4401,28,usa,2000
4419,29,usa,1994
4420,24,switzerland,2000
4428,31,spain,2002
4432,64,united kingdom,1996
4435,30,italy,1990
4438,42,usa,1998
4443,59,usa,1993
4444,29,usa,2002
4456,20,spain,2003
4489,14,usa,1991
4495,59,united kingdom,1986
4506,29,spain,1998
4509,30,germany,2003
4512,22,france,2002
4516,66,usa,1997
4518,30,italy,1995
4524,26,italy,1990
4539,44,australia,1991
4541,32,usa,2001
4547,24,italy,1990
4570,40,usa,1996
4571,23,australia,1997
4573,32,usa,2002
4577,34,usa,2002
4590,21,spain,2000
4600,32,usa,2003
4622,18,usa,2003
4667,31,germany,1998
4695,21,usa,1992
4708,25,spain,2000
4710,43,italy,1976
4714,22,usa,1990
4720,30,france,2003
4731,46,italy,2001
4768,44,united kingdom,2002
4769,35,usa,2001
4774,18,united kingdom,1990
4776,13,australia,1993
4781,47,usa,1990
4784,21,usa,2004
4785,30,usa,1990
4794,14,usa,1988
4795,18,usa,1995
4802,28,united kingdom,1999
4806,29,usa,2003
4811,50,canada,1994
4821,44,usa,2003
4823,37,usa,1996
4835,24,usa,1995
4849,22,germany,2000
4852,56,usa,2002
4864,30,usa,2002
4870,39,usa,1995
4879,40,canada,1999
4886,41,spain,1999
4907,40,australia,1995
4909,31,united kingdom,1998
4919,13,usa,1997
4933,33,usa,2003
4938,30,usa,2004
4948,42,switzerland,2003
4970,18,usa,1999
4972,26,spain,1986
4973,29,canada,1984
4980,21,usa,1999
4994,16,usa,2002
4995,33,usa,2001
4998,18,usa,2001
4999,54,usa,2003
5007,14,united kingdom,2001
5012,21,usa,1992
5017,22,australia,1999
5018,28,france,1992
5027,31,new zealand,2001
5034,21,usa,2004
5037,26,usa,2000
5049,32,usa,2002
5055,15,usa,1991
5060,29,spain,2002
5062,22,usa,2000
5066,37,usa,2002
5073,23,italy,1990
5079,29,italy,1995
5087,32,germany,2002
5100,36,usa,1999
5102,31,spain,1995
5124,37,usa,2003
5126,53,usa,2004
5127,33,italy,2002
5130,37,switzerland,2003
5146,28,italy,2002
5149,28,spain,2001
5151,24,spain,1994
5158,21,france,1994
5162,66,usa,1990
5170,18,usa,1995
5173,32,spain,2002
5184,25,spain,1988
5186,50,usa,2004
5204,24,france,1992
5206,18,spain,2003
5207,34,usa,1992
5208,20,france,2001
5209,48,usa,2001
5223,36,spain,2002
5225,27,germany,2002
5226,45,usa,2000
5231,56,spain,2003
5243,36,canada,1999
5260,20,germany,2000
5285,38,usa,2003
5286,18,usa,2002
5287,22,canada,1995
5293,34,united kingdom,1998
5294,22,canada,1995
5296,34,usa,1990
5311,34,italy,1990
5327,28,australia,1996
5331,26,united kingdom,1998
5350,20,germany,1995
5351,74,new zealand,1980
5357,20,usa,1990
5358,52,usa,2001
5359,55,usa,1999
5361,72,usa,1997
5366,37,spain,1997
5372,68,usa,1998
5375,47,usa,2003
5376,41,usa,1996
5385,30,usa,1997
5410,66,usa,2003
5426,32,usa,2001
5427,11,united kingdom,2001
5429,51,usa,2004
5430,47,usa,1993
5439,66,usa,2002
5441,65,usa,1995
5448,14,usa,2002
5451,24,usa,2000
5452,26,usa,1998
5463,31,spain,2001
5464,24,germany,1987
5466,44,usa,2002
5468,15,usa,1993
5469,26,usa,2001
5471,60,spain,2004
5479,27,usa,2000
5489,60,new zealand,1985
5490,33,usa,2002
5492,48,usa,2003
5502,0,usa,1991
5506,19,usa,2004
5513,17,spain,1986
5517,53,usa,2001
5526,49,usa,2003
5539,32,usa,1998
5543,29,usa,2001
5553,23,united kingdom,1995
5559,37,usa,2003
5562,26,united kingdom,2000
5576,23,canada,1995
5581,22,australia,2004
5582,26,usa,1996
5585,39,usa,2001
5591,58,usa,1980
5597,25,canada,2002
5604,48,germany,1978
5619,52,france,1996
5623,23,france,2000
5627,22,usa,1997
5630,29,italy,1987
5634,25,spain,2001
5635,26,usa,1992
5639,34,italy,1990
5644,23,france,2002
5650,47,italy,1991
5651,64,usa,2002
5653,13,australia,1997
5665,40,usa,2002
5674,15,usa,2003
5683,16,usa,2002
5694,43,usa,2002
5702,14,australia,1994
5704,45,australia,2000
5710,28,usa,2002
5722,23,usa,1988
5724,24,usa,2000
5726,57,united kingdom,1980
5728,22,usa,1999
5730,20,canada,1995
5737,44,usa,1999
5741,20,usa,1995
5742,40,usa,2000
5743,43,usa,1998
5755,58,switzerland,2000
5756,36,australia,1990
5757,37,spain,2000
5765,16,spain,2000
5766,40,usa,1995
5770,37,united kingdom,2003
5774,32,usa,2000
5775,34,usa,1992
5776,26,usa,2003
5777,2,usa,1996
5782,62,usa,2000
5783,32,usa,1994
5784,60,canada,1989
5788,30,united kingdom,2002
5790,34,united kingdom,1991
5794,19,canada,1998
5803,35,germany,1990
5816,19,france,1982
5820,12,usa,1986
5821,36,spain,2001
5829,36,germany,1995
5830,19,usa,1979
5831,43,usa,1978
5834,26,germany,2001
5843,20,usa,1986
5860,41,usa,1998
5861,17,usa,1997
5867,24,usa,1999
5868,47,usa,2001
5872,26,france,2001
5875,15,usa,1987
5892,29,usa,1996
5899,25,germany,1993
5900,19,usa,1983
5902,49,usa,2003
5904,37,usa,2003
5905,57,canada,2003
5916,31,australia,2004
5920,35,usa,1994
5922,19,usa,2004
5951,48,spain,1993
5956,27,usa,2001
5958,37,canada,1999
5963,38,usa,2000
5964,26,usa,2001
5984,42,usa,2003
5988,49,usa,1996
5990,43,usa,1997
5995,50,usa,1980
5998,32,usa,2003
6002,36,australia,1998
6003,15,usa,1990
6009,37,usa,2001
6011,15,usa,1999
6017,15,united kingdom,2002
6018,38,usa,2002
6022,18,usa,2003
6027,18,usa,1995
6036,27,canada,2000
6043,31,usa,1999
6051,33,usa,2000
6052,44,germany,1994
6066,35,australia,1988
6068,34,switzerland,2000
6073,28,usa,2001
6074,30,usa,2002
6083,39,australia,1998
6095,19,usa,2004
6096,26,usa,1998
6099,32,germany,2002
6102,28,usa,2002
6103,24,usa,1999
6104,19,australia,1998
6106,18,usa,2001
6107,32,germany,2000
6112,16,usa,1999
6114,40,united kingdom,1991
6120,36,usa,2004
6124,26,usa,1984
6126,20,germany,1990
6129,30,usa,2001
6140,26,canada,1998
6154,45,usa,2001
6160,14,australia,2000
6161,26,usa,2004
6165,31,usa,1976
6173,16,canada,1989
6177,20,usa,1985
6184,13,usa,1976
6189,46,united kingdom,1990
6193,17,usa,2003
6207,23,france,2002
6210,20,united kingdom,1998
6226,40,usa,1996
6229,38,usa,2000
6230,34,usa,2000
6238,38,united kingdom,1985
6245,23,usa,2003
6246,25,usa,1997
6247,26,usa,2001
6251,32,usa,2003
6252,32,australia,1990
6253,39,united kingdom,2000
6259,19,canada,1990
6261,46,usa,2003
6263,19,germany,1996
6264,53,usa,1996
6265,69,usa,1990
6274,22,italy,2000
6280,46,spain,2000
6281,24,italy,1998
6285,70,canada,1999
6295,30,italy,1990
6298,52,canada,2003
6302,69,canada,2003
6306,60,usa,2002
6312,32,usa,2003
6318,24,usa,1996
6323,35,usa,1997
6324,46,germany,2002
6330,37,united kingdom,1995
6332,27,france,1996
6333,45,usa,2003
6336,41,canada,1993
6338,18,usa,2000
6339,16,new zealand,1998
6345,29,usa,1994
6347,19,canada,1997
6349,66,usa,2002
6356,29,germany,1997
6360,21,spain,2001
6364,32,usa,2000
6366,20,spain,1990
6368,26,usa,2003
6394,43,usa,1993
6397,59,usa,1998
6398,20,usa,2002
6400,38,usa,1979
6402,30,canada,1997
6410,61,germany,1998
6411,17,france,2000
6426,33,australia,2002
6431,30,usa,1998
6432,21,canada,1997
6440,25,spain,2002
6443,30,usa,2001
6445,29,france,1987
6450,26,canada,2003
6456,25,usa,1996
6462,22,usa,2003
6466,44,usa,1996
6472,31,usa,2003
6492,35,canada,1999
6496,39,usa,2002
6501,25,usa,1999
6505,56,usa,1986
6507,26,spain,2000
6509,37,germany,1985
6514,20,usa,1998
6516,22,new zealand,2003
6534,25,germany,2000
6540,26,canada,2002
6543,34,usa,2003
6545,25,canada,1991
6563,31,usa,1999
6569,54,usa,1999
6573,15,usa,1991
6574,62,usa,1997
6577,62,usa,1999
6579,54,usa,2003
6582,35,usa,2003
6586,32,spain,1978
6587,21,united kingdom,2000
6592,37,canada,1996
6598,29,usa,2002
6604,48,usa,1991
6608,23,usa,2002
6613,21,usa,1999
6618,25,spain,1972
6622,56,germany,2002
6629,19,usa,2000
6637,30,usa,2002
6642,34,usa,2001
6648,70,usa,1993
6651,22,usa,1999
6652,41,usa,1992
6654,65,germany,2001
6662,31,canada,1999
6666,39,usa,2003
6669,18,canada,1994
6670,54,usa,1998
6671,54,usa,2001
6673,66,usa,2003
6680,17,usa,1998
6682,16,usa,1999
6688,17,germany,1999
6697,36,usa,2000
6698,20,usa,1977
6700,21,usa,1987
6703,24,spain,1998
6704,32,usa,2003
6710,30,usa,1993
6712,104,germany,2002
6717,36,usa,1994
6724,26,spain,2003
6726,28,spain,1996
6727,29,spain,1994
6731,29,usa,1990
6759,27,australia,1992
6761,53,usa,1995
6766,66,canada,2004
6768,35,usa,2002
6769,56,usa,1998
6780,45,usa,1986
6781,22,usa,2001
6782,22,usa,1995
6795,31,usa,1997
6796,21,usa,1985
6797,53,usa,2000
6814,18,usa,1998
6815,24,usa,1999
6820,46,usa,2003
6831,14,usa,2002
6840,17,usa,2001
6847,23,australia,2000
6852,18,new zealand,1980
6855,41,france,1992
6856,22,united kingdom,2001
6858,21,canada,2001
6865,40,usa,2000
6866,51,france,2003
6867,23,usa,1992
6869,15,canada,1993
6870,21,usa,1998
6871,28,usa,1983
6873,75,usa,2000
6883,23,united kingdom,1984
6884,25,usa,2002
6889,20,spain,1997
6893,20,usa,1990
6894,20,usa,1997
6900,25,usa,1996
6901,38,germany,1995
6906,63,usa,1995
6914,27,usa,1987
6917,39,usa,2003
6924,42,usa,2002
6929,22,spain,1990
6931,44,usa,1982
6938,20,usa,1987
6940,32,usa,1988
6941,17,usa,1999
6945,26,usa,1997
6962,28,usa,1995
6966,42,usa,2001
6968,28,usa,1990
6969,29,united kingdom,1999
6972,20,canada,1981
6984,23,united kingdom,1991
6989,18,usa,1989
6990,29,usa,2003
6998,33,italy,1990
7000,14,canada,2000
7002,32,usa,1986
7009,14,usa,1996
7010,27,usa,2003
7021,39,usa,1995
7033,29,canada,1992
7035,42,usa,1999
7045,18,canada,1994
7053,29,usa,1998
7055,64,usa,1997
7056,31,canada,1993
7060,16,usa,1994
7065,37,usa,1999
7072,11,usa,1999
7084,22,usa,2001
7112,0,germany,2003
7119,66,usa,1995
7125,28,usa,2002
7128,8,usa,1988
7132,44,spain,1994
7134,23,usa,2002
7139,24,spain,2001
7142,26,australia,1997
7156,20,usa,1984
7158,30,usa,2000
7160,24,usa,1999
7161,16,united kingdom,1971
7178,62,canada,1995
7180,24,spain,1999
7181,24,spain,2001
7190,37,italy,1999
7194,25,usa,2001
7197,36,usa,2003
7198,30,spain,1999
7202,21,spain,1990
7205,31,united kingdom,1999
7207,25,spain,2001
7218,31,usa,1999
7246,45,usa,2003
7248,22,usa,1995
7253,32,usa,2002
7254,35,germany,1992
7258,43,usa,1999
7260,29,usa,2003
7262,25,usa,2001
7267,50,germany,1987
7283,30,usa,2003
7286,28,usa,2001
7301,25,usa,2000
7303,29,usa,2000
7306,29,usa,2001
7310,46,usa,2003
7312,23,usa,1997
7317,39,united kingdom,2001
7318,34,usa,2000
7319,23,usa,1997
7325,17,usa,1991
7326,44,usa,2004
7338,33,usa,2002
7339,27,australia,1997
7346,49,usa,1954
7348,24,canada,1920
7350,26,germany,1998
7352,53,usa,2004
7355,31,usa,2003
