ISBN,Title,Author,Year_Publication,Publisher
5027,ELECTRIC HORSEMAN,"Unv,ltn rbt, and gae Col",1979,Pocket
5214,Hells Feast,Farshtey,1994,West End Games
4636,North from Rome,MacInnes,1978,Not Avail
4756,"Forests of Gleor (Blade, No 22)",Jeffrey Lord,1976,Pinnacle Books (Mm)
5236,The Vizier's Second Daughter,Robert F. Young,1985,New Amer Library
4095,The Valley of the Fox (Collier spymasters series),Joseph Hone,1989,Simon &amp; Schuster
4446,Looking Deep,Terry Bradshaw,1991,Berkley Pub Group
4594,Other Side of the Mountain Part 2,E G Valens,0,Warner Books> C/o Little Br
4820,The Proud Tower,Barbara Tuchman,1989,Bantam Books
4421,The Tenth Commandment,Lawrence Sanders,1981,Berkley Publishing Group
5223,Fog of Doubt,Christianna Brand,1984,Pub Group West
4487,The Twelve Deaths of Christmas,Marian Babson,1985,Dell Publishing Company
4823,Trinity,Leon Uris,1983,Bantam Books
4641,Storrington Papers,Dorothy Eden,1980,Fawcett Books
4716,Fanny,Erica Jong,1981,New American Library
4398,"The Seven-Per-Cent Solution: Being a Reprint from the Reminiscences of John H. Watson, M.D. (Norton Paperback)",Nicholas Meyer,1993,W. W. Norton &amp; Company
4730,The titans,John Jakes,1976,Pyramid Books
4130,City of Gold,Len Deighton,1993,Harper Mass Market Paperbacks (Mm)
4484,Second Generation,Howard Fast,1982,Dell Publishing
4816,The Fourth Protocol,Frederick Forsyth,1985,Bantam Books
4943,2ND COMING,Walker Percy,1982,Pocket
4333,The Cay,Theodore Taylor,1995,Avon Books
4809,Emergence,David R. Palmer,1984,Bantam Books
4670,Victims,Dorothy Uhnak,1987,New Amer Library (Mm)
4921,Tularosa,Michael McGarrity,1997,Pocket Star
5103,Spotted Hemlock,Gladys Mitchell,1986,PaperJacks
4601,Lonely Silver Rain,John D. MacDonald,1986,Ballantine Books
4624,San Andreas,Alistair MacLean,1986,Fawcett Books
5207,Damocles Sword,Elleston Trevor,1982,Jove Books
4556,Amityville Horror 2,John G Jones,1983,Warner Books
4220,Gathering@Wolves,Darrell,1983,Hodder &amp; Stoughton General Division
4819,The Rubber Band,REX STOUT,1982,Crimeline
4627,Silversword,Phyllis A. Whitney,1993,Ivy Books
5228,Building Up One Another,Gene Getz,1976,Gospel Light Pubns
4616,Plague Dogs,Robert Adams,1979,Fawcett Books
4862,Uncharted Territory,Connie Willis,1994,Bantam Books
4803,Beasts,John Crowley,1983,Bantam Books (Mm)
4289,Night of the Wolf,Alice Borchardt,2000,Ballantine Books
5142,Human Error,Paul Preuss,1987,Tor Books
5095,Darkness and Dawn,Andre Norton,2004,Baen
4547,Mercycle,Piers Anthony,1996,Ace Books
4674,Prime Evil: New Stories by the Masters of Modern Horror,Douglas E. Winter,1989,Signet Book
4940,WLD ACCORDNG GARP,Irving,1981,Pocket
4287,"Running With the Demon (The Word and the Void Trilogy, Book 1)",Terry Brooks,1998,Del Rey Books
5074,Firewing (Aladdin Fantasy),Kenneth Oppel,2004,Aladdin
4419,Castaways of the Flying Dutchman,Brian Jacques,2001,Philomel Books
4237,Intrepid's Last Case,William Stevenson,1990,Ballantine Books
4469,Blue Knight,Joseph Wambaugh,1973,Dell
4390,"Rich Man, Poor Man",Irwin Shaw,1970,Bantam Dell Pub Group
4729,Furies,John Jakes,1976,Jove Books
4734,Brotherhood of War 04: The Colonels,W. E. B. Griffin,1986,Jove Books
4740,A Hazard of Hearts (Cartland Classic),Barbara Cartland,1988,Jove Books
4843,Sitka,Louis L'Amour,1984,Bantam Books
4635,Judas Flowering (Fawcett Crest Book),Jane Aiken Hodge,1977,Fawcett Books
4549,Outlaw's Embrace,Francine Rivers,1986,Jove Books
5175,Thirteen life-changing secrets,Mark Finley,1995,Review and Herald Pub. Association
5237,Trekmaster,James B. Johnson,1987,New Amer Library
4370,"Killing in the Family: A True Story of Love, Lies and Murder",Stephen Singular,1991,Harpercollins
5001,BUSHIDO CODE (MUSASHI 4) (Musashi Book IV),Eiji Yoshikawa,1990,Pocket
4108,The Sad Variety,Nicholas Blake,1979,Harpercollins
4555,For the Good of the State,Anthony Price,1988,Warner Books
4949,SMART WOMEN : A Story of Hope,Judy Blume,1985,Pocket
4821,The Proteus Operation,James P. Hogan,1991,Spectra Books
4632,The Day the Rabbi Resigned,Harry Kemelman,1993,Fawcett Books
4232,Cerberus a Wolf In the Fold Lords 2,Jack Chalker,1981,Ballantine Books
5155,The Grandees: America's Sephardic Elite,Stephen Birmingham,1997,Syracuse University Press
4764,No Comebacks,Frederick Forsyth,1983,Corgi
5320,Orphans of the Sky,Robert A. Heinlein,2001,Stealth Press
5013,The Eagle Has Flown,Jack Higgins,1991,Pocket
4739,The Furies (Walter Neurath Memorial Lectures),John Jakes,1989,Jove Books
4735,The Touch,F. Paul Wilson,1986,Jove Books
4536,Bard III: The Wild Sea,Keith Taylor,1986,Ace Books
5306,The Rape of Kuwait: The True Story of Iraqi Atrocities Against a Civilian Population,Jean P. Sasson,1991,Knightsbridge Pub. Co.
5042,"Goodbye, Columbus : And Five Short Stories (Vintage International)",Philip Roth,1993,Vintage Books USA
4672,Heir Apparent of Flame 4 (Guardians of the Flame),Joel Rosenberg,1987,Penguin Putnam~mass
4495,Killing Orders,Sara Paretsky,1993,Dell
4715,McTeague: A Story of San Francisco,Frank Norris,2003,Signet Classics
5092,Battlestar Galactica Classic (Battlestar Galactica),Robert Thurston,2002,I Books
4644,Conversations With Rabbi Small,Harry Kemelman,1993,Fawcett Books
5322,Diary of a Mad Housewife,Sue Kaufman,2002,Serpents Tail
4666,Other Women,Lisa Alther,0,Penguin Putnam~mass
5297,Alex: The Life Of A Child,Frank Deford,1997,Rutledge Hill Press
4522,The Black Marble,Joseph Wambaugh,1998,Dell Publishing Company
4614,The Stone Bull,Phyllis A. Whitney,1993,Ivy Books
4760,The Bay Psalm Book Murder,Will Harriss,1985,Pinnacle Books
4830,The Aquitaine Progression,Robert Ludlum,1985,Bantam Books
4607,Day of Atonement (Peter Decker &amp; Rina Lazarus Novels (Paperback)),Faye Kellerman,1992,Fawcett Books
5290,The Black Moon,Loren D. Estleman,1989,Lynx Books
4650,Damien: Omen II,Harvey Bernhard,1978,New Amer Library (Mm)
4111,Queen Lucia Part I,E. F. Benson,1984,HarperCollins Publishers
5164,Heart of the Country,Greg Matthews,1988,Zebra Books
4129,The Court of Three Sisters (Harper Monogram),Marianne Willman,1994,HarperCollins Publishers
4687,Gone Quiet,Eleanor Taylor Bland,1995,Signet Book
4227,The Dog Soldiers,Robert Stone,1975,Ballantine Books
5166,The Woodchipper Murder,Arthur Herzog,1990,Zebra Books
4279,The Shadow Man,John Katzenbach,1996,Ballantine Books
5272,Travesty: A True Crime Story.,Executive Intelligence Review,1993,Executive Intelligence Review
4210,To Die for,Kathy Braidhill,2000,St. Martin's True Crime Classics
4668,Minding the Store,Stanley Marcus,1975,Signet Books
4854,Ritual Murder,S.T. Haymon,1991,Bantam Books
4605,Rivals,Janet Dailey,1990,Ivy Books
5021,GOODBYE JANETTE,Robbins,1982,Pocket
4424,Dinner Homesick Rest,Anne Tyler,1983,Berkley Publishing Group
4114,The Fires of Fu Manchu,Cay Van Ash,1988,Harpercollins
4794,Against Our Will,Susan Brownmiller,1976,Bantam Books
4506,The Real Rules: How to Find the Right Man for the Real You,"Barbara, Phd De Angelis",1997,Dell Publishing Company
4229,Zimmerman Telegram,Barbara Tuchman,1979,Ballantine Books
4887,Karate Kid,B. B. Hiller,1984,Scholastic
4769,The Haigerloch Project,Ib Melchior,1978,Bantam Books
4340,Aztec,Gary Jennings,1981,Avon Books
5292,Money to Burn,Michael Mewshaw,1988,Pinnacle Books
4347,House,Tracy Kidder,1986,Harper Mass Market Paperbacks (Mm)
4465,Midnight For Charlie Bone,Jenny Nimmo,2003,Orchard
5083,Statesman,Piers Anthony,2000,Xlibris Corporation
4545,Idylls of the Queen,Phyllis Ann Karr,1982,Ace Books
4802,The Suicide Plague,Ed Naha,1982,Bantam Books
5295,Future Eden,J.M. Morgan,1992,Pinnacle Books (Mm)
4244,The Black Ship,Christopher Rowley,1990,Del Rey Books
4295,"Islands In Turquoise (Silhouette Intimate Moments, No 124)",Barbara Faith,1985,Silhouette
4557,Born to Love,Valerie Sherwood,1984,Warner Books
4851,Dark Matter,Garfield Reeves-Stevens,1991,Bantam Books
4951,WLD FULL MARRY MEN,Judy Collins,1984,Pocket
5316,"Frieda's Song (Heartsong Presents, # 375)",Kathleen Scarth,2000,"Barbour Publishing, Inc."
4156,Staring at the Light,Frances Fyfield,2001,Penguin Books
5007,Swan Song,Robert McCammon,1987,Pocket
4659,Fall Back,Peter Niesewand,1983,New American Library
4563,Chances,Jackie Collins,1983,Not Avail
4306,"Touch Me Not  (More Than Men) (Harlequin American Romance, No 690)",Julie Kistler,1997,Harlequin
4204,Berserk!: Motiveless Random Massacres,Graham Chester,1995,St Martins Pr (Mm)
4747,How to Live with a Neurotic Dog,STEPHEN BAKER,1994,Gramercy
4277,Garfield Hits the Big Time (Garfield (Numbered Paperback)),Jim Davis,1993,Ballantine Books
5043,"Asa, As I Knew Him (Vintage Contemporaries)",Susanna Kaysen,1994,Vintage Books USA
4939,A Man,Oriana Fallaci,1981,Pocket
4766,Scenes From a Marriage,Ingmar Bergman,0,Bantam Doubleday Dell
4314,Dividend on Death,Brett Halliday,1982,Harlequin
4829,"City in the Mist (America 2040, Book 3)",Evan Innes,1987,Bantam Books
4655,The Delta Decision,Wilbur A. Smith,1982,New Amer Library
4603,Slam the Big Door,John D. MacDonald,1987,Fawcett Books
4351,The Black Dudley Murder,Margery Allingham,1988,Harper Mass Market Paperbacks (Mm)
4967,A TIME OF WAR : A TIME OF WAR,Michael Peterson,1996,Pocket
4542,Flood,Richard Martin Stern,1981,Ace Books
4468,Baby,Robert Lieberman,1982,Dell Publishing Company
4612,Floodgate,Alistair MacLean,1990,Fawcett Books
4257,The Flying Sorcerers,D. Gerrold,1982,Del Rey Books
5189,Scarlet plume (The Gregg Press Western fiction series),Frederick Feikema Manfred,1980,Gregg Press
4299,"Castle Of Dreams (Silhouette Intimate Moments, No 464)",Maura Seger,1992,Silhouette
4176,The gold of the gods,Erich von Daniken,1973,Souvenir Press
4496,Hit on the House,Jon A. Jackson,1995,Dell Publishing Company
4755,Blind Journey,B. Lancaster,1976,Pinnacle Books (Mm)
4574,Rage of Angels,Sidney Sheldon,1988,Springer-Verlag
4474,Errol Flynn: The Untold Story,Charles Higham,1984,Bantam Books (Mm)
4598,Coal Miners Daughter,Loretta Lynn,0,Warner Books> C/o Little Br
4319,"Forbidden (Women Who Dare) (Harlequin Superromance, No 641)",Ellen James,1995,Harlequin
4467,Broken Promises,Campbell,1982,Dell Publishing
4676,Blind Faith,Joe McGinniss,1990,Signet Book
4882,Unidentified Flying Oddball,Vic Crume,1980,Scholastic
4604,Heiress,Janet Dailey,1992,Ivy Books
4197,The Golden Calves,Louis Auchincloss,1990,St Martins Pr
4261,Sins of the Flesh,Fern Michaels,1990,Ivy Books
5058,The Honorary Consul : A Novel (Simon &amp; Schuster Classics),Graham Greene,2000,Simon &amp; Schuster
5202,Key to Your Child's Heart,Gary Smalley,1987,W Publishing Group
5230,Christ in a Poncho: Testimonials of the Nonviolent Struggles in Latin America,Adolfo Perez Esquivel,1983,Orbis Books
5176,Emotions: Can You Trust Them?,James Dobson,1981,Gospel Light Publications
4970,Solve Your Child's Sleep Problems,Richard Ferber,1986,Fireside
4948,Kon-Tiki,Thor Heyerdahl,1983,Pocket Books
5060,"Head to Head: The Coming Economic Battle Among Japan, Europe, and America",Lester Thurow,1992,Harpercollins
5220,And The Word Came With Power,Joanne Shetler,1992,Multnomah
5267,Prayers,Michel Quoist,1983,Sheed and Ward
4993,WASTED,Thomas Wolfe,1990,Pocket
4988,NIGHT OF THE FOX (TIE-IN),Jack Higgins,1989,Pocket
5222,Prometheus: The Life of Balzac,Andre Maurois,1983,Carroll &amp; Graf Publishers
4825,Qb Seven,Leon Uris,1982,Bantam Books
4402,The Man Who Walked Through Time,Colin Fletcher,1972,Vintage Books
4673,Outrageous Acts and Everyday Rebellions,Gloria Steinem,1992,New Amer Library (Mm)
4678,Final Harvest: An American Tragedy,Andrew H. Malcom,1989,New Amer Library
4206,"Secrets of Serotonin: The Natural Hormone That Curbs Food and Alcohol Cravings, Elevates Your Mood, Reduces Pain, and Boosts Energy",Carol Hart,1996,St. Martin's Paperbacks
4396,Eleanor: The Years Alone,Joseph P. Lash,1972,W W Norton &amp; Co Inc
4199,By Way of Deception,Victor Ostrovsky,1991,St. Martin's Press
4817,Rusty's Story,Carol Gino,1986,Bantam
4784,Whale for the Killing,Farley Mowat,0,Bantam Doubleday Dell
4917,Seven Days to Petrograd: A Novel,Vernon Tom Hyman,1988,Penguin USA
4811,Holcroft Covenant,Robert Ludlum,1981,Bantam Books
4617,Jian,ERIC VAN LUSTBADER,1986,Fawcett
4132,The Cunning of History,Richard Rubenstein,1987,Perennial
4780,Island,Peter Benchley,0,Bantam Doubleday Dell
4195,A Habit of the Blood,Lois Battle,1988,St Martins Pr
4818,Plot It Yourself,Rex Stout,1994,Bantam Books
4356,Out on the Cutting Edge: A Matthew Scudder Crime Novel,Lawrence Block,2001,Avon
4824,The Matarese Circle,Robert Ludlum,1983,Bantam Books
4959,Shell Game,Douglas Terman,1986,Pocket Books
4838,Corridor of Storms (First Americans Saga),William Sarabande,1988,Bantam
5271,The Hundredth Monkey,Ken Keyes Jr.,1984,Devorss &amp; Co (Txp)
4273,Prisoner of Dreams,Karen Ripley,1989,Del Rey Books
5148,Zork #04 Conquest at (Zork),Eric Meretzky,1984,Tor Books
4765,Shepherd,Frederick Forsyth,0,Bantam Doubleday Dell
4214,The Winds of War,Herman Wouk,2002,Back Bay Books
4559,Chances,Jackie Collins,1982,Warner Books
5123,Renifleur's Daughter,Candida Fraze,1987,Henry Holt &amp; Co
4748,The Spike,Arnaud De Borchgrave,1980,Random House Value Pub
4327,The Book of Revelation,Rupert Thomson,2000,Alfred A. Knopf
4732,"The Generals (American Short Story Series, V. 67)",W. E. B. Griffin,1991,Jove Books
4834,The Devil's Alternative,Frederick Forsyth,1982,Bantam Books
4320,"Fathers And Other Strangers (Family Man) (Harlequin Superromance, No 667)",Evelyn A. Crowe,1995,Harlequin
4470,The Chief Inspector's Daughter,Sheila Radley,1981,Dell Publishing Company
4858,Pictures at 11,Norman Spinrad,1994,Bantam Dell Pub Group
5146,Free Live Free,Gene Wolfe,1986,Tor Books
4952,Any Minute I Can Split,Judith Rossner,1986,Pocket Books
4293,"Duel Of Passion (Harlequin Romance, No 3094)",Madeleine Ker,1990,Harlequin
4219,Noble House,James Clavell,0,Trafalgar Square
4812,Trek to Madworld (Star Trek),Stephen Goldin,1998,Spectra Books
4977,"Timetrap (Star Trek, No 40)",David Dvorkin,1988,Star Trek
4341,Somebody Else's Kids,Torey Hayden,1982,Avon
4150,The Sleepers of Erin,Jonathan Gash,1993,Penguin USA
4222,Russians,Smith,1976,Not Avail
4353,Loitering With Intent,Muriel Spark,1990,Harpercollins
4155,The Whiteness of Bones (Contemporary American Fiction),Susanna Moore,1990,Penguin Books
4477,Help the Poor Struggler,Martha Grimes,1990,Dell
4584,The Reality Dysfunction Part I: Emergence,Peter F. Hamilton,1997,Warner Books
4423,For Special Services,John Gardner,1983,Penguin Putnam~mass
4554,Laying the Music to Rest (Questar Science Fiction),Dean Wesley Smith,1989,Warner Books (Mm)
4868,Species: A Novel,Yvonne Navarro,1995,Bantam Books
4637,CONDOMINIUM,John D. Macdonald,1980,Fawcett Books
5031,"SEE, I TOLD YOU SO",Rush Limbaugh,1994,Pocket
4350,The Gyrth Chalice Mystery,Margery Allingham,1988,Harper Mass Market Paperbacks (Mm)
4309,Death Of The Last Villista (Texana Jones Mysteries (Paperback)),Allana Martin,2002,Worldwide Library
4562,Lonesome Road,Patricia Wentworth,1985,Warner Books
4404,The Man Who Stole the Mona Lisa,Martin Page,1985,Random House Inc
5224,The Prisoner in the Opal,A.E.W. Mason,1986,Carroll &amp; Graf Publishers
5162,The Dollkeeper,Jack Scaparro,1987,Kensington Pub Corp (Mm)
4814,The Haj,Leon Uris,1985,Bantam Books
4274,Early from the Dance,David Payne,1991,Ballantine Books
4403,The woman warrior: Memoirs of a girlhood among ghosts,Maxine Hong Kingston,1977,Vintage Books
4566,Surprise Party,William Katz,1985,Warner Books
5233,Battlefield Earth,L. Ron Hubbard,1984,Bridge Publications
4969,SILVER WNG SAN BLU,Janet Dailey,1985,Pocket
4380,Bruce Coville's Strange Worlds (Avon Camelot Books (Paperback)),Bruce Coville,2000,Avon Books
4397,Plant Dreaming Deep,May Sarton,1982,W W Norton &amp; Co
4731,Georgiana,Marian Pope Rettke,1981,Jove
5278,Daring Moves,Jim Miller,1996,Mira
4384,Heart of Thunder,Johanna Lindsey,1999,Avon
4301,Never Love A Cowboy,Rita Rainville,1988,Silhouette
4294,"Thai Silk (Harlequin Romance, No 3108)",Anne Weale,1991,Harlequin
4485,The Settlers (Australians),William Stuart Long,1982,Dell Publishing Company
5170,Viking Tempest (Zebra Lovegram Historical Romance),Ashland Price,1994,Kensington Pub Corp (Mm)
5089,A Murder of Quality,John le Carre,2002,Scribner
5208,The Last Letter Home (Borealis Books),Vilhelm Moberg,1995,Minnesota Historical Society Press
4915,That Hideous Strength (Space Trilogy (Hardcover)),C. S. Lewis,2001,Sagebrush Bound
4950,1ST AMONG EQUALS,Jeffrey Archer,1985,Pocket
4100,The Haunting of Suzanna Blackwell,Richard Setlowe,1984,Henry Holt &amp; Co
4937,King Davids Spaceship,Jerry Pournelle,1981,Simon Schuster Trade
4378,Blood Run,Leah R. Robinson,1999,Avon
4464,"Come What May (Heartland, 5)",Lauren Brooke,2001,Scholastic
4165,The Chessmen of Doom (Johnny Dixon Mysteries),John Bellairs,2000,Puffin Books
4916,The Dead Zone,Stephen King,1979,Viking Books
4452,East of Desolation,Jack Higgins,1997,Berkley Publishing Group
5178,Eyes of the Dragon: A Story,Stephen King,1999,Sagebrush Bound
5085,Barry Trotter and the Unauthorized Parody,Michael Gerber,2002,Fireside
4101,Do No Harm,Gregg Hurwitz,2003,HarperTorch
4833,Hot Ice,NORA ROBERTS,2003,Bantam
4904,"Search for Senna (Everworld, 1)",K. A. Applegate,1999,Scholastic
4539,Empire of the East,Fred Saberhagen,1984,Ace Books
5261,How to Shit in the Woods: An Environmentally Sound Approach to a Lost Art,Kathleen Meyer,1994,Ten Speed Press
5113,"Guide to Owning a Labrador Retriever: Puppy Care, Retrieving, Training, History, Health, Breed Standard (Re Dog Series)",Richard T. Burrows,1996,TFH Publications
4431,Fire on the Water (Lone Wolf),Joe Dever,1995,Pacer Books
4963,"The Final Fury (Star Trek: Voyager, No 9: Invasion Book No 4)",Dafydd ab Hugh,1996,Star Trek
4852,The Naked Sun,Isaac Asimov,1991,Bantam
5106,The Planet Savers: Also Including the Waterfall (Thorndike Speculative Fiction),Marion Zimmer Bradley,2001,Thorndike Press
4292,Childhood's End (Del Rey Impact),Arthur C. Clarke,2001,Del Rey Books
4749,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1989,Harmony
4914,The Frog Prince : A Fairy Tale for Consenting Adults,STEPHEN MITCHELL,1999,Harmony
5098,Chicken Soup for the Soul: A Christmas Treasury,Jack Canfield,2001,Health Communications
4432,Grey Star the Wizard (The World of Lone Wolf Book 1),Ian Page,1988,Pacer Books
4905,"Enter the Enchanted (Everworld, 3)",K. A. Applegate,1999,Scholastic
4906,"Discover the Destroyer (Everworld, 5)",K. A. Applegate,2000,Scholastic
4907,Fear the Fantastic (Everworld),K. A. Applegate,2000,Scholastic
4908,"Gateway to the Gods (Everworld, 7)",K. A. Applegate,2000,Scholastic
4909,"Brave the Betrayal (Everworld, 8)",K. A. Applegate,2000,Scholastic
4437,"The Jungle of Horrors (Lone Wolf, No 8)",Joe Dever,1993,Berkley Publishing Group
4961,"Time's Enemy (Star Trek Deep Space Nine: Invasion, Book 3)",L.A. Graf,1996,Star Trek
4121,Magic the Gathering: Arena Vol. 1,William R. Forstchen,1994,HarperEntertainment
5091,Tickled Pink : A Comic Novel,Rita Rudner,2001,Atria
4980,"Uhura's Song (Star Trek, No 21)",Janet Kagan,1987,Star Trek
5003,"The Children of Hamlin (Star Trek The Next Generation, No 3)",Carmen Carter,1990,Star Trek
4115,Harper's illustrated handbook of dogs,Roger A. Caras,1985,Harper &amp; Row
4933,"Gemworld Book Two of Two (Star Trek The Next Generation, No 59)",John Vornholt,2000,Star Trek
5018,Dark Mirror (Star Trek: The Next Generation),Diane Duane,1994,Star Trek
4924,Ship of the Line (Star Trek: The Next Generation),Diane Carey,1999,Star Trek
4925," Q-Space (Star Trek The Next Generation, Book 47)",Greg Cox,1998,Star Trek
4932,"Gemworld Book One of Two (Star Trek The Next Generation, No 58)",John Vornholt,2000,Star Trek
4133,"The Summer of the Great-Grandmother (Crosswicks Journal, Book 2)",Madeleine L'Engle,1984,HarperSanFrancisco
4930,"Red Sector (Star Trek The Next Generation: Double Helix, Book 3)",Diane Carey,1999,Star Trek
5009,"A Rock and a Hard Place (Star Trek The Next Generation, No 10)",Peter David,1991,Star Trek
4929,"Infection (Star Trek The Next Generation: Double Helix, Book 1)",John Gregory Betancourt,1999,Star Trek
5010,Vendetta: The Giant Novel (Star Trek the Next Generation),Peter David,1991,Star Trek
5015,"Imbalance (Star Trek The Next Generation, No 22)",V.E. Mitchell,1992,Star Trek
4701,The Fallen,Dale Bailey,2002,Signet Book
5281,The Widow,Anne Stuart,2001,Mira
4374,It Had to Be You,Susan Elizabeth Phillips,2002,Avon
4745,Resurrection Day,Brendan Dubois,2000,Berkley Publishing Group
5121,Your Incredible Cat: Understanding the Secret Powers of Your Pet,David Greene,1990,Ivy Books
5087,Two Brothers,Linda Lael Miller,2000,Pocket
4867,Home Fires,Luanne Rice,1996,Bantam Books
4381,This Heart of Mine (Avon Romance),Susan Elizabeth Phillips,2002,Avon
4931,Deep Water (Buffy the Vampire Slayer),Laura Anne Gilman,2000,Simon Spotlight Entertainment
4718,"Self-Working Coin Magic: 92 Foolproof Tricks (Cards, Coins, and Other Magic)",Karl Fulves,1990,Dover Publications
5262,Never miss a sunset (Wholesome Adventure for Girls Gift Set S),Jeanette Gilge,1975,D. C. Cook Pub. Co
5144,Zombie Lover (Xanth),Piers Anthony,1999,Tor Fantasy
4137,Julie (Julie of the Wolves),Jean Craighead George,1996,HarperTrophy
4410,The Berenstain Bears and Mama's New Job (Berenstain Bears First Time Chapter Books (Paperback)),Stan Berenstain,1984,Random House Children's Books
5137,"Nemesis (Indigo, Book 1)",Louise Cooper,1989,Tor Books
5313,The Secret Garden (unabridged),Frances Hodgson Burnett,1997,Audio Partners
5185,Bride Of The Far Side,Gary Larson,1985,Andrews McMeel Publishing
5151,"Muse of Art (Geodyssey, Saga 4)",Piers Anthony,2001,Tor Fantasy
4695,Light a Penny Candle,Maeve Binchy,1997,Signet Book
4280,Powers That Be,Anne McCaffrey,1994,Del Rey Books
5182,Shave The Whales,Scott Adams,1994,Andrews McMeel Publishing
4321,The Fairy Godmother,Mercedes Lackey,2004,Luna
4473,Death by Sheer Torture,Robert Barnard,1985,Dell Publishing Company
4391,Leaving Cold Sassy: The Unfinished Sequel to Cold Sassy,Olive Ann Burns,1994,Delta
5082,The Landower Legacy,Victoria Holt,1993,"Books on Tape, Inc."
4399,Chesapeake,James A. Michener,1978,Random House
4651,"Fury's Sun, Passion's Moon",Gimone Hall,1979,Signet Books
5318,Shardik,Richard Adams,2002,Overlook Press
4251,Midnight at the Well of Souls,Jack L. Chalker,1989,Del Rey Books
5124,"\A\"" is for Alibi : A Kinsey Millhone Mystery (A Kinsey Millhone Mystery)""",Sue Grafton,1982,Henry Holt and Co.
4236,The Vagabond,Colette,1982,Ballantine Books
5120,The Tale of the Unicorn,Otfried Preussler,1989,Dial Books
5063,The Book of Classic Insults,Tom Steele,1999,Perennial Currents
4116,Modoc : The True Story of the Greatest Elephant That Ever Lived,Ralph Helfer,1998,Perennial
4106,I Was a Teenage Fairy,Francesca Lia Block,1998,Joanna Cotler Books
5090,"Jokers Wild (Wild Cards, Volume 3)",Kat Martin,2002,I Books
5088,"Aces High (Wild Cards, Volume 2)",George Martin,2001,I Books
5150,Rainbow Mars,Larry Niven,2000,Tor Science Fiction
4746,Fire &amp; Flesh,Evan Kingsbury,2003,Jove Books
5234,"An Alien Affair (Mission Earth, Vol 4)",L. Ron Hubbard,1989,Bridge Publications
4102,A Little Help from Above,Saralee Rosenberg,2002,Avon Trade
4268,The Dragon and the George,Gordon R. Dickson,1981,Del Rey Books
4984,FIREBRAND,Marion Zimmer Bradley,1988,Pocket
5139,Roc and a Hard Place,Piers Anthony,1996,Tor Fantasy
4831,The Pigman,PAUL ZINDEL,1983,Bantam
5259,Purple Pirates,Talbot Mundy,1991,Amereon Ltd
5005,Sword Point,Harold Coyle,1990,Pocket
5168,Baby Dolly,Ruby Jean Jensen,1991,Zebra Books
4256,Surrender the Stars,Cynthia Wright,1987,Ballantine Books
5197,The Man of the Desert (Grace Livingston Hill #63),Grace L. Hill,1991,Tyndale House Publishers
4097,"Edward, Edward: A Part of His Story and of History, 1795-1816, Set Out in Three Parts in This Form of a New-Old Picaresque Romance That Is Also a stud",Lolah. Burford,1973,MacMillan Publishing Company
5314,The Danger,Dick Francis,2000,Audio Partners
4579,Prince of the City,Robert Daley,1994,Warner Books
4996,Hollywood Husbands,Jackie Collins,1990,Pocket
5033,Spellbinder,Harold Robbins,1993,Pocket Books
4790,Brain Child,John Saul,1991,Transworld Publishers Ltd
5080,Snare Of The Hunter,Helen MacInnes,1981,"Books on Tape, Inc."
4476,Floodtide,Frank Yerby,1980,Dell Publishing
4577,Decked : A Regan Reilly Mystery,Carol Higgins Clark,1993,Warner Books
4965,Fifteen American One Act Plays (Anta Series of Distinuguished Plays),Paul Kozelka,1984,Pocket
4157,A Dog So Small,Phillppa Pearce,1962,Penguin USA
5134,Mindsword's Story (6th Book of Lost Swords),Fred Saberhagen,1991,Tor Books
4228,Icerigger,Foster Dean,1978,Not Avail
4122,Eternity Road,Jack McDevitt,1998,Eos
4537,"Clarke County, Space",Allen Steele,2000,Ace Books
5317,I &amp; Claudius: Travels With My Cat,Clare de Vries,1999,Bloomsbury Publishing (NY)
5077,This is the house,Deborah Hill,1976,"Coward, McCann &amp; Geoghegan"
5016,"Whitney, My Love",Judith McNaught,2000,Pocket
4512,Thy Neighbors Wife (R),Gay Talese,1986,Dell Publishing Company
4337,Tara's Song,Barbara Ferry Johnson,1978,Harper Mass Market Paperbacks (Mm)
4345,The Rich and the Mighty,Vera Cowie,1986,Avon Books
4987,Trapped in Death Cave,Bill Wallace,1989,Simon Pulse
5225,The Fallen Sparrow,Dorothy B. Hughes,1988,Pub Group West
4934,AUCTIONEER,Joan Samson,1976,Simon &amp; Schuster
5002,Separate Reality,Carlos Castaneda,1991,Washington Square Press
5096,French Connection,Robin Moore,2000,Bloomsbury Pub Ltd
4772,Independence,Dana Fuller Ross,0,Bantam Doubleday Dell
5260,Cash McCall,Cameron Hawley,1977,Queens House
5321,Death is No Sportsman,Cyril Hare,2001,House of Stratus
4382,Love Play,Rosemary Rogers,1982,Avon
4260,Burr,Gore Vidal,1989,Ballantine Books
5032,The Dream Merchants,Harold Robbins,1993,Pocket Books
5338,Marooned a Novel,Martin Caidin,1964,E P Dutton
4142,The Silent Treatment,David Carkeet,1990,Harpercollins Juvenile Books
4191,"Lovelock (The Mayflower Trilogy, Book 1)",Orson Scott Card,1994,St Martins Pr
4849,Scruples,Judith Krantz,1989,Bantam Books
5107,The Siege of Krishnapur,J. G. Farrell,1997,Pub Group West
