ID,nonfiction,mystery,romance,fantasy,historical_fiction,classics,thriller,science_fiction,crime,young_adult,contemporary,history,biography,horror,memoir,religion,philosophy,science
10190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10192,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10195,1,1,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0
10197,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10201,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10202,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10203,0,4,1,0,4,0,2,0,3,1,3,0,0,1,0,0,0,0
10204,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10207,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10212,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10215,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10225,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
10226,4,0,2,1,2,4,0,1,0,0,1,0,1,0,1,0,1,0
10227,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10233,2,14,7,2,1,2,7,1,6,2,5,0,1,1,0,0,0,0
10235,1,0,1,2,0,1,0,2,0,2,0,1,0,0,0,0,0,0
10239,4,7,0,2,2,5,7,3,3,6,1,1,3,3,1,0,0,0
10241,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10243,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10249,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1026,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10262,3,3,2,4,4,1,2,2,1,2,0,1,1,2,1,0,0,0
10265,2,4,17,1,0,0,1,0,2,1,4,1,2,1,1,0,0,0
10266,0,0,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0
10267,7,38,26,1,10,5,21,2,16,6,9,2,2,3,1,0,0,1
10268,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
10273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10284,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10293,0,3,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
10299,0,5,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0
103,0,3,0,0,2,0,3,0,2,0,6,0,0,0,0,0,0,0
10300,1,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
10303,146,209,72,46,67,66,110,35,104,39,50,32,42,28,42,15,19,6
10305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1031,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10310,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10312,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2
10322,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
10324,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
10326,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0
10335,4,4,4,9,0,0,3,0,2,0,0,3,0,6,1,0,0,0
10336,1,1,1,2,2,2,1,3,0,0,1,0,0,1,0,0,0,0
10339,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10347,0,26,16,1,2,2,10,1,6,1,10,0,0,0,0,0,0,0
10349,0,8,10,0,2,0,5,0,4,0,5,0,0,0,0,0,0,0
10350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10352,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10356,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10361,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10362,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10363,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10365,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10368,0,4,2,1,1,0,5,2,0,0,3,0,0,4,0,0,0,0
10376,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
10378,25,23,0,5,0,1,26,2,18,1,0,0,1,19,1,0,2,2
10382,3,1,3,1,0,0,0,1,0,0,4,0,0,0,0,0,2,0
1039,3,8,2,5,3,4,3,3,6,3,2,1,2,1,3,0,0,0
10395,0,1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0
10397,13,24,78,28,27,5,20,28,6,14,19,1,5,12,3,3,1,0
10399,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10400,7,3,4,2,3,7,2,0,2,0,1,3,3,2,0,0,1,1
10405,8,7,2,25,10,11,9,38,3,6,5,1,2,13,3,2,0,1
10407,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10408,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10409,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10410,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
10411,1,18,24,5,1,1,17,3,6,1,6,0,1,3,1,0,0,0
10412,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
10414,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10416,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
10420,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0
10430,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10432,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10440,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10447,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10450,1,0,0,9,1,0,0,1,0,0,0,1,0,1,0,0,0,0
10454,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10469,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10478,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10,0,0
1048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10481,3,5,0,1,0,0,0,0,0,38,3,0,0,0,0,2,0,0
10482,0,10,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0
10488,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10491,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10500,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
10504,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10516,10,1,0,2,1,0,0,4,1,0,0,4,5,0,3,2,0,0
10517,9,0,0,4,0,2,0,0,0,0,0,1,0,0,0,2,0,24
10521,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10522,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10527,26,53,55,19,52,25,33,6,11,52,50,7,15,0,17,7,2,1
10528,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10530,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10532,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10547,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
10552,6,2,0,1,1,3,0,1,2,1,0,2,3,0,2,0,0,0
10559,1,2,1,0,3,4,2,0,1,1,0,0,0,1,0,0,0,0
10565,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
10569,2,5,2,3,8,24,3,7,3,1,4,0,1,0,0,0,1,0
10570,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10576,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10579,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10580,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0
10589,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1059,14,6,0,10,4,2,6,20,3,2,1,5,1,1,1,1,2,2
10590,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
1060,0,2,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0
10607,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0
10608,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10618,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10628,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10636,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
10637,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10638,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10645,5,0,0,1,2,1,0,0,0,0,3,2,2,1,1,1,2,0
10663,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
10667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10673,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
10685,0,0,0,1,0,1,1,2,0,0,0,0,0,2,0,0,0,0
1069,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
10690,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10696,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10703,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10707,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10709,4,3,2,3,2,3,0,0,0,3,1,0,0,0,0,1,0,3
10711,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10720,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10721,0,1,0,5,0,3,1,2,0,1,0,0,0,1,0,0,0,0
10730,3,0,1,4,2,2,0,3,0,1,0,0,1,0,0,0,1,0
10733,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0
10734,0,4,1,0,1,0,4,0,3,1,1,0,0,2,0,0,0,0
10735,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10737,6,2,0,1,3,10,4,2,3,1,0,3,3,0,1,1,2,3
10740,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10742,13,4,1,27,5,4,3,14,4,1,0,4,9,28,4,1,1,0
10747,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10749,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1075,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10750,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10758,29,12,39,15,15,3,7,8,5,4,20,2,10,5,11,0,3,1
10759,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10764,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
10767,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10771,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10778,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10792,3,1,1,3,2,4,0,1,0,2,2,3,1,0,1,3,1,0
10794,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10796,1,14,0,2,0,0,3,2,2,0,0,0,0,2,0,0,0,0
10797,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
108,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10807,0,4,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0
10811,2,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0
10817,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10818,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10819,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10822,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10823,0,4,0,0,1,1,4,0,1,0,1,0,0,1,0,0,0,0
10825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10828,1,0,2,3,4,2,0,1,0,1,7,0,0,2,0,0,0,0
1083,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10831,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
10832,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10833,3,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,1
10839,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1084,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
10840,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
10844,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10851,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10852,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10859,1,0,1,1,0,1,0,0,0,0,2,0,1,1,1,0,0,0
10860,2,2,0,1,1,0,2,0,0,0,0,0,1,2,1,0,0,0
10863,1,1,5,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0
10869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10874,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10877,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10879,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10882,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10883,4,0,1,5,5,8,0,5,0,14,1,1,2,0,1,0,0,0
10884,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10886,7,8,38,29,8,1,1,7,4,13,11,1,1,1,3,1,0,0
10888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10895,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10899,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
109,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10900,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10901,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
10903,3,10,5,2,2,0,8,0,4,1,5,0,3,0,3,0,0,0
10905,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10909,5,0,0,1,1,1,0,0,0,1,1,0,2,0,3,0,2,0
1091,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10918,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10922,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10925,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10930,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
10944,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10946,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10947,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10949,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
10951,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10952,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10962,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10966,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10973,4,2,0,2,1,3,3,3,0,0,0,0,4,0,2,0,0,0
10978,1,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0,0,0
10979,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10980,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1099,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10990,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10992,1,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
10998,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
11001,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11003,1,2,0,0,2,2,1,1,1,0,1,2,0,0,0,0,0,1
11005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11007,1,8,2,5,4,1,5,7,3,1,2,0,0,0,0,1,0,0
11010,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
11011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11013,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11016,0,40,8,4,4,0,33,1,17,0,4,0,0,2,0,0,0,0
11023,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11036,46,19,9,20,24,36,12,12,10,7,9,12,7,7,7,9,16,8
11037,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
11038,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11041,1,2,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,1
11043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11052,0,7,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1106,1,6,2,0,1,0,5,0,3,0,1,0,0,0,0,1,1,0
11062,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11069,0,3,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
1107,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11074,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11078,26,63,13,40,14,15,43,53,28,4,13,2,10,38,9,2,2,0
1108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11080,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0
11082,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11084,0,3,1,4,1,0,1,2,2,3,0,0,0,1,0,0,0,0
11090,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
11091,0,2,16,3,7,0,2,2,1,2,1,0,0,0,0,0,0,0
11101,1,0,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0
11105,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11118,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11122,3,6,9,0,0,2,5,0,1,1,5,1,1,0,1,0,2,0
11123,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11127,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1114,5,5,4,5,1,2,0,2,0,17,2,0,1,4,1,0,0,0
11143,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11146,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1115,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
11150,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11155,0,0,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0
11158,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11159,0,1,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
11164,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11168,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
11169,0,4,5,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0
11172,6,4,5,2,3,2,1,0,2,0,6,0,0,0,1,1,1,0
11174,0,0,2,1,3,1,0,1,0,0,1,0,0,1,0,1,0,0
11184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11185,1,4,1,1,0,0,3,0,3,0,1,0,0,0,0,0,0,0
11188,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11195,0,3,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0
112,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11209,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
11211,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11219,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
11221,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11224,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11232,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11234,2,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0
11235,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11239,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11242,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11244,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
11256,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11267,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
